Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.1,
Label,,
TIME,CH1,CH1 Peak Detect
-8.96288e-03,0.474,0.47
-8.96272e-03,0.478,0.466
-8.96256e-03,0.474,0.478
-8.96240e-03,0.47,0.47
-8.96224e-03,0.47,0.478
-8.96208e-03,0.47,0.47
-8.96192e-03,0.466,0.478
-8.96176e-03,0.462,0.462
-8.96160e-03,0.458,0.474
-8.96144e-03,0.454,0.454
-8.96128e-03,0.454,0.466
-8.96112e-03,0.45,0.45
-8.96096e-03,0.45,0.458
-8.96080e-03,0.454,0.446
-8.96064e-03,0.458,0.458
-8.96048e-03,0.462,0.45
-8.96032e-03,0.466,0.462
-8.96016e-03,0.466,0.458
-8.96000e-03,0.47,0.47
-8.95984e-03,0.466,0.462
-8.95968e-03,0.462,0.47
-8.95952e-03,0.462,0.462
-8.95936e-03,0.458,0.47
-8.95920e-03,0.462,0.454
-8.95904e-03,0.458,0.466
-8.95888e-03,0.458,0.454
-8.95872e-03,0.458,0.462
-8.95856e-03,0.454,0.454
-8.95840e-03,0.458,0.462
-8.95824e-03,0.462,0.454
-8.95808e-03,0.462,0.462
-8.95792e-03,0.462,0.454
-8.95776e-03,0.462,0.466
-8.95760e-03,0.466,0.458
-8.95744e-03,0.466,0.466
-8.95728e-03,0.466,0.462
-8.95712e-03,0.466,0.47
-8.95696e-03,0.462,0.462
-8.95680e-03,0.458,0.47
-8.95664e-03,0.458,0.458
-8.95648e-03,0.454,0.47
-8.95632e-03,0.454,0.45
-8.95616e-03,0.45,0.462
-8.95600e-03,0.454,0.446
-8.95584e-03,0.458,0.458
-8.95568e-03,0.458,0.45
-8.95552e-03,0.466,0.458
-8.95536e-03,0.466,0.454
-8.95520e-03,0.466,0.466
-8.95504e-03,0.462,0.462
-8.95488e-03,0.462,0.47
-8.95472e-03,0.458,0.458
-8.95456e-03,0.458,0.47
-8.95440e-03,0.454,0.454
-8.95424e-03,0.454,0.466
-8.95408e-03,0.454,0.454
-8.95392e-03,0.458,0.462
-8.95376e-03,0.462,0.45
-8.95360e-03,0.462,0.462
-8.95344e-03,0.462,0.458
-8.95328e-03,0.466,0.466
-8.95312e-03,0.462,0.462
-8.95296e-03,0.462,0.47
-8.95280e-03,0.462,0.458
-8.95264e-03,0.458,0.466
-8.95248e-03,0.458,0.458
-8.95232e-03,0.458,0.466
-8.95216e-03,0.458,0.454
-8.95200e-03,0.458,0.462
-8.95184e-03,0.458,0.454
-8.95168e-03,0.462,0.462
-8.95152e-03,0.466,0.454
-8.95136e-03,0.462,0.466
-8.95120e-03,0.462,0.458
-8.95104e-03,0.458,0.466
-8.95088e-03,0.462,0.458
-8.95072e-03,0.462,0.466
-8.95056e-03,0.462,0.458
-8.95040e-03,0.462,0.466
-8.95024e-03,0.462,0.458
-8.95008e-03,0.466,0.466
-8.94992e-03,0.466,0.458
-8.94976e-03,0.466,0.466
-8.94960e-03,0.462,0.458
-8.94944e-03,0.458,0.47
-8.94928e-03,0.458,0.458
-8.94912e-03,0.454,0.47
-8.94896e-03,0.45,0.45
-8.94880e-03,0.45,0.462
-8.94864e-03,0.446,0.45
-8.94848e-03,0.454,0.458
-8.94832e-03,0.45,0.446
-8.94816e-03,0.454,0.454
-8.94800e-03,0.454,0.45
-8.94784e-03,0.45,0.458
-8.94768e-03,0.45,0.45
-8.94752e-03,0.446,0.458
-8.94736e-03,0.446,0.446
-8.94720e-03,0.446,0.458
-8.94704e-03,0.446,0.442
-8.94688e-03,0.45,0.45
-8.94672e-03,0.45,0.442
-8.94656e-03,0.454,0.45
-8.94640e-03,0.458,0.446
-8.94624e-03,0.462,0.458
-8.94608e-03,0.462,0.45
-8.94592e-03,0.466,0.466
-8.94576e-03,0.466,0.458
-8.94560e-03,0.47,0.47
-8.94544e-03,0.466,0.462
-8.94528e-03,0.47,0.47
-8.94512e-03,0.462,0.462
-8.94496e-03,0.462,0.47
-8.94480e-03,0.462,0.458
-8.94464e-03,0.462,0.47
-8.94448e-03,0.462,0.458
-8.94432e-03,0.462,0.466
-8.94416e-03,0.458,0.458
-8.94400e-03,0.458,0.466
-8.94384e-03,0.458,0.454
-8.94368e-03,0.458,0.462
-8.94352e-03,0.458,0.454
-8.94336e-03,0.458,0.462
-8.94320e-03,0.458,0.454
-8.94304e-03,0.458,0.462
-8.94288e-03,0.458,0.458
-8.94272e-03,0.458,0.466
-8.94256e-03,0.458,0.454
-8.94240e-03,0.462,0.462
-8.94224e-03,0.462,0.458
-8.94208e-03,0.462,0.466
-8.94192e-03,0.458,0.458
-8.94176e-03,0.462,0.466
-8.94160e-03,0.458,0.454
-8.94144e-03,0.458,0.466
-8.94128e-03,0.458,0.458
-8.94112e-03,0.458,0.462
-8.94096e-03,0.462,0.454
-8.94080e-03,0.462,0.462
-8.94064e-03,0.462,0.454
-8.94048e-03,0.462,0.466
-8.94032e-03,0.462,0.458
-8.94016e-03,0.458,0.466
-8.94000e-03,0.454,0.454
-8.93984e-03,0.45,0.466
-8.93968e-03,0.45,0.45
-8.93952e-03,0.45,0.462
-8.93936e-03,0.446,0.446
-8.93920e-03,0.446,0.454
-8.93904e-03,0.446,0.442
-8.93888e-03,0.446,0.45
-8.93872e-03,0.446,0.442
-8.93856e-03,0.446,0.45
-8.93840e-03,0.45,0.442
-8.93824e-03,0.446,0.45
-8.93808e-03,0.45,0.446
-8.93792e-03,0.458,0.454
-8.93776e-03,0.454,0.446
-8.93760e-03,0.458,0.458
-8.93744e-03,0.454,0.45
-8.93728e-03,0.462,0.458
-8.93712e-03,0.458,0.454
-8.93696e-03,0.462,0.462
-8.93680e-03,0.466,0.454
-8.93664e-03,0.462,0.466
-8.93648e-03,0.466,0.458
-8.93632e-03,0.466,0.47
-8.93616e-03,0.466,0.462
-8.93600e-03,0.462,0.47
-8.93584e-03,0.462,0.458
-8.93568e-03,0.462,0.47
-8.93552e-03,0.462,0.458
-8.93536e-03,0.466,0.466
-8.93520e-03,0.462,0.462
-8.93504e-03,0.462,0.47
-8.93488e-03,0.462,0.458
-8.93472e-03,0.458,0.466
-8.93456e-03,0.458,0.458
-8.93440e-03,0.458,0.466
-8.93424e-03,0.458,0.454
-8.93408e-03,0.458,0.462
-8.93392e-03,0.454,0.454
-8.93376e-03,0.454,0.462
-8.93360e-03,0.45,0.454
-8.93344e-03,0.454,0.462
-8.93328e-03,0.458,0.45
-8.93312e-03,0.462,0.458
-8.93296e-03,0.462,0.454
-8.93280e-03,0.458,0.466
-8.93264e-03,0.462,0.458
-8.93248e-03,0.454,0.466
-8.93232e-03,0.454,0.454
-8.93216e-03,0.45,0.466
-8.93200e-03,0.446,0.446
-8.93184e-03,0.446,0.462
-8.93168e-03,0.446,0.442
-8.93152e-03,0.45,0.454
-8.93136e-03,0.454,0.446
-8.93120e-03,0.454,0.454
-8.93104e-03,0.458,0.446
-8.93088e-03,0.462,0.458
-8.93072e-03,0.466,0.454
-8.93056e-03,0.47,0.466
-8.93040e-03,0.466,0.458
-8.93024e-03,0.466,0.47
-8.93008e-03,0.462,0.462
-8.92992e-03,0.458,0.47
-8.92976e-03,0.454,0.454
-8.92960e-03,0.45,0.47
-8.92944e-03,0.45,0.45
-8.92928e-03,0.454,0.458
-8.92912e-03,0.458,0.45
-8.92896e-03,0.458,0.458
-8.92880e-03,0.462,0.454
-8.92864e-03,0.462,0.462
-8.92848e-03,0.462,0.454
-8.92832e-03,0.462,0.466
-8.92816e-03,0.462,0.458
-8.92800e-03,0.458,0.466
-8.92784e-03,0.458,0.458
-8.92768e-03,0.458,0.466
-8.92752e-03,0.458,0.458
-8.92736e-03,0.458,0.462
-8.92720e-03,0.454,0.454
-8.92704e-03,0.458,0.462
-8.92688e-03,0.458,0.454
-8.92672e-03,0.458,0.462
-8.92656e-03,0.458,0.454
-8.92640e-03,0.458,0.462
-8.92624e-03,0.458,0.454
-8.92608e-03,0.458,0.462
-8.92592e-03,0.454,0.454
-8.92576e-03,0.458,0.462
-8.92560e-03,0.458,0.454
-8.92544e-03,0.462,0.462
-8.92528e-03,0.47,0.454
-8.92512e-03,0.466,0.466
-8.92496e-03,0.466,0.458
-8.92480e-03,0.466,0.47
-8.92464e-03,0.462,0.462
-8.92448e-03,0.458,0.47
-8.92432e-03,0.45,0.458
-8.92416e-03,0.454,0.466
-8.92400e-03,0.446,0.446
-8.92384e-03,0.446,0.462
-8.92368e-03,0.446,0.442
-8.92352e-03,0.45,0.454
-8.92336e-03,0.446,0.442
-8.92320e-03,0.45,0.45
-8.92304e-03,0.454,0.446
-8.92288e-03,0.454,0.454
-8.92272e-03,0.458,0.45
-8.92256e-03,0.458,0.458
-8.92240e-03,0.458,0.454
-8.92224e-03,0.454,0.462
-8.92208e-03,0.454,0.45
-8.92192e-03,0.454,0.462
-8.92176e-03,0.454,0.45
-8.92160e-03,0.45,0.458
-8.92144e-03,0.458,0.45
-8.92128e-03,0.458,0.458
-8.92112e-03,0.462,0.45
-8.92096e-03,0.462,0.462
-8.92080e-03,0.462,0.458
-8.92064e-03,0.462,0.466
-8.92048e-03,0.466,0.458
-8.92032e-03,0.466,0.466
-8.92016e-03,0.466,0.458
-8.92000e-03,0.462,0.47
-8.91984e-03,0.462,0.462
-8.91968e-03,0.458,0.47
-8.91952e-03,0.458,0.458
-8.91936e-03,0.458,0.466
-8.91920e-03,0.458,0.454
-8.91904e-03,0.458,0.462
-8.91888e-03,0.462,0.454
-8.91872e-03,0.458,0.462
-8.91856e-03,0.458,0.454
-8.91840e-03,0.462,0.462
-8.91824e-03,0.462,0.458
-8.91808e-03,0.466,0.466
-8.91792e-03,0.462,0.458
-8.91776e-03,0.458,0.466
-8.91760e-03,0.462,0.458
-8.91744e-03,0.462,0.466
-8.91728e-03,0.462,0.458
-8.91712e-03,0.458,0.466
-8.91696e-03,0.458,0.458
-8.91680e-03,0.462,0.466
-8.91664e-03,0.466,0.454
-8.91648e-03,0.47,0.47
-8.91632e-03,0.466,0.462
-8.91616e-03,0.462,0.47
-8.91600e-03,0.458,0.458
-8.91584e-03,0.45,0.47
-8.91568e-03,0.45,0.45
-8.91552e-03,0.446,0.462
-8.91536e-03,0.45,0.446
-8.91520e-03,0.45,0.454
-8.91504e-03,0.454,0.442
-8.91488e-03,0.458,0.454
-8.91472e-03,0.466,0.45
-8.91456e-03,0.466,0.462
-8.91440e-03,0.466,0.458
-8.91424e-03,0.466,0.47
-8.91408e-03,0.462,0.462
-8.91392e-03,0.462,0.47
-8.91376e-03,0.462,0.458
-8.91360e-03,0.458,0.47
-8.91344e-03,0.454,0.458
-8.91328e-03,0.45,0.466
-8.91312e-03,0.45,0.45
-8.91296e-03,0.446,0.462
-8.91280e-03,0.454,0.446
-8.91264e-03,0.458,0.454
-8.91248e-03,0.462,0.45
-8.91232e-03,0.462,0.462
-8.91216e-03,0.466,0.458
-8.91200e-03,0.466,0.466
-8.91184e-03,0.47,0.462
-8.91168e-03,0.466,0.47
-8.91152e-03,0.466,0.466
-8.91136e-03,0.462,0.474
-8.91120e-03,0.466,0.462
-8.91104e-03,0.462,0.47
-8.91088e-03,0.462,0.458
-8.91072e-03,0.458,0.47
-8.91056e-03,0.458,0.454
-8.91040e-03,0.454,0.466
-8.91024e-03,0.454,0.454
-8.91008e-03,0.45,0.462
-8.90992e-03,0.446,0.45
-8.90976e-03,0.446,0.458
-8.90960e-03,0.446,0.446
-8.90944e-03,0.446,0.454
-8.90928e-03,0.45,0.446
-8.90912e-03,0.454,0.454
-8.90896e-03,0.45,0.446
-8.90880e-03,0.454,0.458
-8.90864e-03,0.45,0.45
-8.90848e-03,0.45,0.458
-8.90832e-03,0.45,0.446
-8.90816e-03,0.446,0.454
-8.90800e-03,0.446,0.442
-8.90784e-03,0.446,0.454
-8.90768e-03,0.45,0.446
-8.90752e-03,0.446,0.454
-8.90736e-03,0.45,0.446
-8.90720e-03,0.454,0.454
-8.90704e-03,0.458,0.446
-8.90688e-03,0.462,0.454
-8.90672e-03,0.466,0.45
-8.90656e-03,0.47,0.462
-8.90640e-03,0.47,0.462
-8.90624e-03,0.474,0.474
-8.90608e-03,0.47,0.47
-8.90592e-03,0.474,0.478
-8.90576e-03,0.47,0.47
-8.90560e-03,0.466,0.478
-8.90544e-03,0.466,0.466
-8.90528e-03,0.462,0.474
-8.90512e-03,0.466,0.462
-8.90496e-03,0.462,0.47
-8.90480e-03,0.466,0.458
-8.90464e-03,0.462,0.466
-8.90448e-03,0.466,0.458
-8.90432e-03,0.466,0.47
-8.90416e-03,0.466,0.462
-8.90400e-03,0.466,0.47
-8.90384e-03,0.462,0.462
-8.90368e-03,0.458,0.47
-8.90352e-03,0.458,0.458
-8.90336e-03,0.458,0.466
-8.90320e-03,0.458,0.454
-8.90304e-03,0.462,0.462
-8.90288e-03,0.462,0.458
-8.90272e-03,0.462,0.466
-8.90256e-03,0.458,0.458
-8.90240e-03,0.458,0.466
-8.90224e-03,0.466,0.458
-8.90208e-03,0.462,0.466
-8.90192e-03,0.47,0.458
-8.90176e-03,0.462,0.466
-8.90160e-03,0.466,0.462
-8.90144e-03,0.458,0.47
-8.90128e-03,0.458,0.458
-8.90112e-03,0.45,0.466
-8.90096e-03,0.45,0.45
-8.90080e-03,0.454,0.466
-8.90064e-03,0.454,0.45
-8.90048e-03,0.454,0.458
-8.90032e-03,0.458,0.45
-8.90016e-03,0.462,0.458
-8.90000e-03,0.462,0.454
-8.89984e-03,0.462,0.462
-8.89968e-03,0.462,0.458
-8.89952e-03,0.462,0.466
-8.89936e-03,0.466,0.458
-8.89920e-03,0.462,0.466
-8.89904e-03,0.458,0.458
-8.89888e-03,0.454,0.47
-8.89872e-03,0.454,0.454
-8.89856e-03,0.454,0.466
-8.89840e-03,0.454,0.45
-8.89824e-03,0.458,0.458
-8.89808e-03,0.458,0.45
-8.89792e-03,0.462,0.458
-8.89776e-03,0.462,0.454
-8.89760e-03,0.462,0.466
-8.89744e-03,0.462,0.458
-8.89728e-03,0.458,0.47
-8.89712e-03,0.458,0.458
-8.89696e-03,0.458,0.466
-8.89680e-03,0.458,0.454
-8.89664e-03,0.458,0.466
-8.89648e-03,0.462,0.454
-8.89632e-03,0.454,0.462
-8.89616e-03,0.458,0.454
-8.89600e-03,0.458,0.462
-8.89584e-03,0.462,0.454
-8.89568e-03,0.466,0.462
-8.89552e-03,0.466,0.458
-8.89536e-03,0.462,0.47
-8.89520e-03,0.462,0.462
-8.89504e-03,0.462,0.47
-8.89488e-03,0.462,0.462
-8.89472e-03,0.462,0.466
-8.89456e-03,0.462,0.458
-8.89440e-03,0.462,0.466
-8.89424e-03,0.462,0.458
-8.89408e-03,0.466,0.466
-8.89392e-03,0.47,0.458
-8.89376e-03,0.466,0.47
-8.89360e-03,0.47,0.462
-8.89344e-03,0.466,0.47
-8.89328e-03,0.462,0.462
-8.89312e-03,0.462,0.474
-8.89296e-03,0.462,0.462
-8.89280e-03,0.462,0.47
-8.89264e-03,0.462,0.458
-8.89248e-03,0.462,0.466
-8.89232e-03,0.466,0.458
-8.89216e-03,0.466,0.466
-8.89200e-03,0.466,0.458
-8.89184e-03,0.466,0.47
-8.89168e-03,0.47,0.462
-8.89152e-03,0.466,0.47
-8.89136e-03,0.462,0.462
-8.89120e-03,0.462,0.47
-8.89104e-03,0.462,0.458
-8.89088e-03,0.458,0.47
-8.89072e-03,0.458,0.454
-8.89056e-03,0.458,0.466
-8.89040e-03,0.458,0.454
-8.89024e-03,0.462,0.462
-8.89008e-03,0.462,0.454
-8.88992e-03,0.458,0.462
-8.88976e-03,0.458,0.458
-8.88960e-03,0.454,0.466
-8.88944e-03,0.458,0.454
-8.88928e-03,0.462,0.462
-8.88912e-03,0.458,0.454
-8.88896e-03,0.462,0.462
-8.88880e-03,0.466,0.458
-8.88864e-03,0.462,0.466
-8.88848e-03,0.466,0.458
-8.88832e-03,0.462,0.47
-8.88816e-03,0.462,0.462
-8.88800e-03,0.462,0.47
-8.88784e-03,0.462,0.462
-8.88768e-03,0.466,0.466
-8.88752e-03,0.462,0.462
-8.88736e-03,0.462,0.47
-8.88720e-03,0.458,0.458
-8.88704e-03,0.462,0.466
-8.88688e-03,0.462,0.458
-8.88672e-03,0.47,0.466
-8.88656e-03,0.47,0.458
-8.88640e-03,0.47,0.47
-8.88624e-03,0.47,0.462
-8.88608e-03,0.466,0.47
-8.88592e-03,0.462,0.462
-8.88576e-03,0.462,0.474
-8.88560e-03,0.458,0.458
-8.88544e-03,0.458,0.47
-8.88528e-03,0.458,0.454
-8.88512e-03,0.462,0.466
-8.88496e-03,0.462,0.454
-8.88480e-03,0.458,0.466
-8.88464e-03,0.462,0.458
-8.88448e-03,0.462,0.466
-8.88432e-03,0.462,0.458
-8.88416e-03,0.462,0.466
-8.88400e-03,0.462,0.458
-8.88384e-03,0.466,0.466
-8.88368e-03,0.466,0.458
-8.88352e-03,0.47,0.466
-8.88336e-03,0.47,0.462
-8.88320e-03,0.47,0.474
-8.88304e-03,0.47,0.466
-8.88288e-03,0.47,0.474
-8.88272e-03,0.474,0.466
-8.88256e-03,0.47,0.474
-8.88240e-03,0.466,0.466
-8.88224e-03,0.466,0.474
-8.88208e-03,0.47,0.466
-8.88192e-03,0.474,0.474
-8.88176e-03,0.474,0.466
-8.88160e-03,0.474,0.474
-8.88144e-03,0.474,0.47
-8.88128e-03,0.478,0.478
-8.88112e-03,0.478,0.474
-8.88096e-03,0.474,0.482
-8.88080e-03,0.474,0.474
-8.88064e-03,0.466,0.482
-8.88048e-03,0.458,0.466
-8.88032e-03,0.454,0.478
-8.88016e-03,0.45,0.454
-8.88000e-03,0.45,0.47
-8.87984e-03,0.45,0.446
-8.87968e-03,0.45,0.458
-8.87952e-03,0.45,0.446
-8.87936e-03,0.454,0.458
-8.87920e-03,0.454,0.45
-8.87904e-03,0.458,0.458
-8.87888e-03,0.458,0.45
-8.87872e-03,0.462,0.462
-8.87856e-03,0.462,0.454
-8.87840e-03,0.47,0.466
-8.87824e-03,0.47,0.458
-8.87808e-03,0.47,0.47
-8.87792e-03,0.47,0.466
-8.87776e-03,0.466,0.474
-8.87760e-03,0.47,0.466
-8.87744e-03,0.466,0.474
-8.87728e-03,0.47,0.466
-8.87712e-03,0.466,0.474
-8.87696e-03,0.466,0.466
-8.87680e-03,0.47,0.47
-8.87664e-03,0.47,0.466
-8.87648e-03,0.462,0.474
-8.87632e-03,0.462,0.458
-8.87616e-03,0.462,0.474
-8.87600e-03,0.466,0.462
-8.87584e-03,0.47,0.466
-8.87568e-03,0.466,0.462
-8.87552e-03,0.466,0.47
-8.87536e-03,0.462,0.462
-8.87520e-03,0.462,0.47
-8.87504e-03,0.458,0.462
-8.87488e-03,0.458,0.47
-8.87472e-03,0.458,0.454
-8.87456e-03,0.458,0.466
-8.87440e-03,0.462,0.454
-8.87424e-03,0.466,0.462
-8.87408e-03,0.466,0.458
-8.87392e-03,0.466,0.47
-8.87376e-03,0.466,0.462
-8.87360e-03,0.462,0.47
-8.87344e-03,0.466,0.458
-8.87328e-03,0.458,0.47
-8.87312e-03,0.462,0.458
-8.87296e-03,0.462,0.466
-8.87280e-03,0.462,0.462
-8.87264e-03,0.458,0.47
-8.87248e-03,0.458,0.458
-8.87232e-03,0.462,0.466
-8.87216e-03,0.47,0.458
-8.87200e-03,0.47,0.466
-8.87184e-03,0.47,0.462
-8.87168e-03,0.47,0.474
-8.87152e-03,0.47,0.466
-8.87136e-03,0.47,0.474
-8.87120e-03,0.47,0.47
-8.87104e-03,0.47,0.478
-8.87088e-03,0.47,0.466
-8.87072e-03,0.466,0.474
-8.87056e-03,0.466,0.462
-8.87040e-03,0.462,0.47
-8.87024e-03,0.466,0.462
-8.87008e-03,0.466,0.47
-8.86992e-03,0.47,0.462
-8.86976e-03,0.474,0.47
-8.86960e-03,0.474,0.466
-8.86944e-03,0.478,0.474
-8.86928e-03,0.478,0.47
-8.86912e-03,0.478,0.478
-8.86896e-03,0.482,0.474
-8.86880e-03,0.482,0.482
-8.86864e-03,0.482,0.478
-8.86848e-03,0.478,0.486
-8.86832e-03,0.478,0.478
-8.86816e-03,0.478,0.486
-8.86800e-03,0.474,0.474
-8.86784e-03,0.47,0.482
-8.86768e-03,0.466,0.466
-8.86752e-03,0.462,0.478
-8.86736e-03,0.462,0.462
-8.86720e-03,0.462,0.474
-8.86704e-03,0.462,0.458
-8.86688e-03,0.462,0.466
-8.86672e-03,0.462,0.458
-8.86656e-03,0.458,0.466
-8.86640e-03,0.462,0.458
-8.86624e-03,0.462,0.466
-8.86608e-03,0.466,0.458
-8.86592e-03,0.462,0.47
-8.86576e-03,0.462,0.462
-8.86560e-03,0.462,0.47
-8.86544e-03,0.462,0.458
-8.86528e-03,0.458,0.466
-8.86512e-03,0.458,0.458
-8.86496e-03,0.462,0.466
-8.86480e-03,0.466,0.458
-8.86464e-03,0.462,0.462
-8.86448e-03,0.466,0.458
-8.86432e-03,0.466,0.466
-8.86416e-03,0.466,0.462
-8.86400e-03,0.47,0.47
-8.86384e-03,0.47,0.462
-8.86368e-03,0.466,0.47
-8.86352e-03,0.466,0.466
-8.86336e-03,0.466,0.474
-8.86320e-03,0.466,0.466
-8.86304e-03,0.47,0.474
-8.86288e-03,0.47,0.466
-8.86272e-03,0.474,0.474
-8.86256e-03,0.474,0.466
-8.86240e-03,0.478,0.474
-8.86224e-03,0.482,0.47
-8.86208e-03,0.482,0.482
-8.86192e-03,0.478,0.474
-8.86176e-03,0.478,0.482
-8.86160e-03,0.474,0.474
-8.86144e-03,0.47,0.486
-8.86128e-03,0.466,0.466
-8.86112e-03,0.466,0.482
-8.86096e-03,0.462,0.462
-8.86080e-03,0.462,0.474
-8.86064e-03,0.458,0.458
-8.86048e-03,0.462,0.466
-8.86032e-03,0.47,0.458
-8.86016e-03,0.474,0.466
-8.86000e-03,0.474,0.462
-8.85984e-03,0.474,0.474
-8.85968e-03,0.474,0.466
-8.85952e-03,0.47,0.478
-8.85936e-03,0.466,0.466
-8.85920e-03,0.462,0.478
-8.85904e-03,0.458,0.462
-8.85888e-03,0.458,0.474
-8.85872e-03,0.462,0.458
-8.85856e-03,0.462,0.466
-8.85840e-03,0.462,0.458
-8.85824e-03,0.466,0.466
-8.85808e-03,0.466,0.458
-8.85792e-03,0.47,0.47
-8.85776e-03,0.47,0.466
-8.85760e-03,0.474,0.474
-8.85744e-03,0.466,0.47
-8.85728e-03,0.466,0.474
-8.85712e-03,0.466,0.466
-8.85696e-03,0.462,0.474
-8.85680e-03,0.458,0.458
-8.85664e-03,0.458,0.47
-8.85648e-03,0.462,0.458
-8.85632e-03,0.462,0.466
-8.85616e-03,0.466,0.458
-8.85600e-03,0.47,0.466
-8.85584e-03,0.474,0.462
-8.85568e-03,0.47,0.474
-8.85552e-03,0.474,0.466
-8.85536e-03,0.482,0.474
-8.85520e-03,0.482,0.47
-8.85504e-03,0.486,0.482
-8.85488e-03,0.482,0.478
-8.85472e-03,0.482,0.486
-8.85456e-03,0.478,0.478
-8.85440e-03,0.474,0.486
-8.85424e-03,0.474,0.474
-8.85408e-03,0.474,0.486
-8.85392e-03,0.478,0.47
-8.85376e-03,0.478,0.478
-8.85360e-03,0.478,0.47
-8.85344e-03,0.478,0.482
-8.85328e-03,0.478,0.474
-8.85312e-03,0.474,0.482
-8.85296e-03,0.478,0.474
-8.85280e-03,0.474,0.482
-8.85264e-03,0.474,0.47
-8.85248e-03,0.47,0.478
-8.85232e-03,0.47,0.466
-8.85216e-03,0.466,0.478
-8.85200e-03,0.47,0.466
-8.85184e-03,0.47,0.474
-8.85168e-03,0.466,0.466
-8.85152e-03,0.466,0.47
-8.85136e-03,0.47,0.466
-8.85120e-03,0.466,0.474
-8.85104e-03,0.466,0.462
-8.85088e-03,0.466,0.474
-8.85072e-03,0.47,0.462
-8.85056e-03,0.47,0.474
-8.85040e-03,0.47,0.462
-8.85024e-03,0.47,0.474
-8.85008e-03,0.47,0.466
-8.84992e-03,0.474,0.474
-8.84976e-03,0.47,0.466
-8.84960e-03,0.47,0.474
-8.84944e-03,0.47,0.466
-8.84928e-03,0.466,0.474
-8.84912e-03,0.466,0.466
-8.84896e-03,0.466,0.474
-8.84880e-03,0.462,0.462
-8.84864e-03,0.462,0.47
-8.84848e-03,0.462,0.458
-8.84832e-03,0.462,0.466
-8.84816e-03,0.466,0.458
-8.84800e-03,0.462,0.466
-8.84784e-03,0.466,0.458
-8.84768e-03,0.462,0.47
-8.84752e-03,0.462,0.462
-8.84736e-03,0.462,0.47
-8.84720e-03,0.466,0.458
-8.84704e-03,0.466,0.47
-8.84688e-03,0.47,0.462
-8.84672e-03,0.47,0.474
-8.84656e-03,0.474,0.466
-8.84640e-03,0.474,0.474
-8.84624e-03,0.47,0.47
-8.84608e-03,0.466,0.478
-8.84592e-03,0.466,0.466
-8.84576e-03,0.458,0.474
-8.84560e-03,0.458,0.458
-8.84544e-03,0.462,0.47
-8.84528e-03,0.462,0.458
-8.84512e-03,0.47,0.462
-8.84496e-03,0.478,0.458
-8.84480e-03,0.482,0.474
-8.84464e-03,0.486,0.47
-8.84448e-03,0.49,0.486
-8.84432e-03,0.49,0.482
-8.84416e-03,0.482,0.49
-8.84400e-03,0.478,0.482
-8.84384e-03,0.474,0.49
-8.84368e-03,0.47,0.474
-8.84352e-03,0.47,0.486
-8.84336e-03,0.466,0.466
-8.84320e-03,0.466,0.478
-8.84304e-03,0.47,0.466
-8.84288e-03,0.474,0.47
-8.84272e-03,0.474,0.466
-8.84256e-03,0.474,0.478
-8.84240e-03,0.474,0.47
-8.84224e-03,0.474,0.478
-8.84208e-03,0.466,0.47
-8.84192e-03,0.466,0.478
-8.84176e-03,0.462,0.462
-8.84160e-03,0.462,0.474
-8.84144e-03,0.47,0.458
-8.84128e-03,0.474,0.466
-8.84112e-03,0.482,0.462
-8.84096e-03,0.486,0.478
-8.84080e-03,0.49,0.474
-8.84064e-03,0.486,0.49
-8.84048e-03,0.482,0.486
-8.84032e-03,0.482,0.494
-8.84016e-03,0.478,0.478
-8.84000e-03,0.478,0.49
-8.83984e-03,0.474,0.474
-8.83968e-03,0.47,0.486
-8.83952e-03,0.47,0.466
-8.83936e-03,0.474,0.478
-8.83920e-03,0.478,0.47
-8.83904e-03,0.478,0.474
-8.83888e-03,0.482,0.47
-8.83872e-03,0.478,0.478
-8.83856e-03,0.478,0.474
-8.83840e-03,0.474,0.482
-8.83824e-03,0.47,0.474
-8.83808e-03,0.47,0.482
-8.83792e-03,0.462,0.466
-8.83776e-03,0.462,0.478
-8.83760e-03,0.462,0.458
-8.83744e-03,0.466,0.47
-8.83728e-03,0.47,0.458
-8.83712e-03,0.474,0.466
-8.83696e-03,0.482,0.462
-8.83680e-03,0.486,0.478
-8.83664e-03,0.49,0.474
-8.83648e-03,0.49,0.49
-8.83632e-03,0.49,0.486
-8.83616e-03,0.486,0.49
-8.83600e-03,0.482,0.482
-8.83584e-03,0.478,0.49
-8.83568e-03,0.474,0.474
-8.83552e-03,0.474,0.486
-8.83536e-03,0.474,0.474
-8.83520e-03,0.47,0.478
-8.83504e-03,0.47,0.47
-8.83488e-03,0.47,0.478
-8.83472e-03,0.474,0.466
-8.83456e-03,0.47,0.478
-8.83440e-03,0.47,0.466
-8.83424e-03,0.47,0.474
-8.83408e-03,0.466,0.466
-8.83392e-03,0.462,0.474
-8.83376e-03,0.466,0.462
-8.83360e-03,0.462,0.474
-8.83344e-03,0.466,0.462
-8.83328e-03,0.462,0.466
-8.83312e-03,0.462,0.462
-8.83296e-03,0.466,0.466
