Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.1,
Label,,
TIME,CH1,CH1 Peak Detect
-1.20517e-02,0.466,0.466
-1.20515e-02,0.47,0.474
-1.20514e-02,0.466,0.466
-1.20512e-02,0.462,0.474
-1.20510e-02,0.458,0.458
-1.20509e-02,0.454,0.47
-1.20507e-02,0.45,0.454
-1.20506e-02,0.454,0.462
-1.20504e-02,0.454,0.45
-1.20502e-02,0.454,0.458
-1.20501e-02,0.462,0.454
-1.20499e-02,0.462,0.462
-1.20498e-02,0.466,0.458
-1.20496e-02,0.466,0.47
-1.20494e-02,0.466,0.462
-1.20493e-02,0.462,0.47
-1.20491e-02,0.466,0.462
-1.20490e-02,0.462,0.47
-1.20488e-02,0.466,0.462
-1.20486e-02,0.466,0.47
-1.20485e-02,0.466,0.462
-1.20483e-02,0.466,0.47
-1.20482e-02,0.466,0.466
-1.20480e-02,0.462,0.47
-1.20478e-02,0.462,0.462
-1.20477e-02,0.458,0.47
-1.20475e-02,0.458,0.458
-1.20474e-02,0.462,0.466
-1.20472e-02,0.458,0.454
-1.20470e-02,0.462,0.462
-1.20469e-02,0.458,0.454
-1.20467e-02,0.462,0.466
-1.20466e-02,0.462,0.458
-1.20464e-02,0.466,0.466
-1.20462e-02,0.466,0.458
-1.20461e-02,0.474,0.466
-1.20459e-02,0.474,0.462
-1.20458e-02,0.478,0.474
-1.20456e-02,0.478,0.47
-1.20454e-02,0.482,0.478
-1.20453e-02,0.482,0.474
-1.20451e-02,0.478,0.482
-1.20450e-02,0.474,0.474
-1.20448e-02,0.47,0.482
-1.20446e-02,0.47,0.47
-1.20445e-02,0.47,0.478
-1.20443e-02,0.47,0.466
-1.20442e-02,0.466,0.474
-1.20440e-02,0.466,0.462
-1.20438e-02,0.47,0.474
-1.20437e-02,0.474,0.462
-1.20435e-02,0.47,0.47
-1.20434e-02,0.47,0.466
-1.20432e-02,0.466,0.474
-1.20430e-02,0.462,0.462
-1.20429e-02,0.458,0.47
-1.20427e-02,0.458,0.458
-1.20426e-02,0.458,0.47
-1.20424e-02,0.462,0.454
-1.20422e-02,0.458,0.462
-1.20421e-02,0.462,0.458
-1.20419e-02,0.462,0.466
-1.20418e-02,0.47,0.458
-1.20416e-02,0.466,0.466
-1.20414e-02,0.47,0.462
-1.20413e-02,0.466,0.474
-1.20411e-02,0.466,0.466
-1.20410e-02,0.466,0.474
-1.20408e-02,0.466,0.462
-1.20406e-02,0.462,0.47
-1.20405e-02,0.462,0.458
-1.20403e-02,0.466,0.47
-1.20402e-02,0.466,0.462
-1.20400e-02,0.47,0.47
-1.20398e-02,0.47,0.462
-1.20397e-02,0.47,0.47
-1.20395e-02,0.466,0.466
-1.20394e-02,0.474,0.474
-1.20392e-02,0.47,0.466
-1.20390e-02,0.466,0.474
-1.20389e-02,0.466,0.466
-1.20387e-02,0.47,0.474
-1.20386e-02,0.47,0.466
-1.20384e-02,0.466,0.47
-1.20382e-02,0.466,0.466
-1.20381e-02,0.466,0.47
-1.20379e-02,0.47,0.466
-1.20378e-02,0.474,0.474
-1.20376e-02,0.474,0.466
-1.20374e-02,0.47,0.478
-1.20373e-02,0.462,0.466
-1.20371e-02,0.462,0.474
-1.20370e-02,0.458,0.458
-1.20368e-02,0.454,0.47
-1.20366e-02,0.458,0.45
-1.20365e-02,0.458,0.462
-1.20363e-02,0.462,0.45
-1.20362e-02,0.466,0.462
-1.20360e-02,0.466,0.458
-1.20358e-02,0.466,0.466
-1.20357e-02,0.462,0.462
-1.20355e-02,0.462,0.47
-1.20354e-02,0.458,0.458
-1.20352e-02,0.462,0.47
-1.20350e-02,0.462,0.454
-1.20349e-02,0.462,0.466
-1.20347e-02,0.462,0.458
-1.20346e-02,0.462,0.466
-1.20344e-02,0.466,0.458
-1.20342e-02,0.462,0.466
-1.20341e-02,0.466,0.462
-1.20339e-02,0.466,0.47
-1.20338e-02,0.474,0.462
-1.20336e-02,0.47,0.47
-1.20334e-02,0.47,0.466
-1.20333e-02,0.462,0.474
-1.20331e-02,0.462,0.462
-1.20330e-02,0.458,0.474
-1.20328e-02,0.454,0.458
-1.20326e-02,0.45,0.466
-1.20325e-02,0.45,0.45
-1.20323e-02,0.45,0.462
-1.20322e-02,0.45,0.446
-1.20320e-02,0.454,0.454
-1.20318e-02,0.462,0.446
-1.20317e-02,0.462,0.458
-1.20315e-02,0.462,0.454
-1.20314e-02,0.466,0.466
-1.20312e-02,0.462,0.458
-1.20310e-02,0.462,0.466
-1.20309e-02,0.462,0.458
-1.20307e-02,0.458,0.466
-1.20306e-02,0.462,0.458
-1.20304e-02,0.462,0.466
-1.20302e-02,0.466,0.458
-1.20301e-02,0.47,0.466
-1.20299e-02,0.474,0.458
-1.20298e-02,0.474,0.474
-1.20296e-02,0.478,0.47
-1.20294e-02,0.478,0.478
-1.20293e-02,0.478,0.474
-1.20291e-02,0.478,0.486
-1.20290e-02,0.474,0.478
-1.20288e-02,0.47,0.482
-1.20286e-02,0.466,0.47
-1.20285e-02,0.462,0.482
-1.20283e-02,0.458,0.462
-1.20282e-02,0.458,0.474
-1.20280e-02,0.454,0.454
-1.20278e-02,0.454,0.466
-1.20277e-02,0.454,0.454
-1.20275e-02,0.462,0.462
-1.20274e-02,0.458,0.454
-1.20272e-02,0.458,0.462
-1.20270e-02,0.462,0.458
-1.20269e-02,0.462,0.466
-1.20267e-02,0.462,0.458
-1.20266e-02,0.458,0.466
-1.20264e-02,0.458,0.458
-1.20262e-02,0.458,0.466
-1.20261e-02,0.454,0.454
-1.20259e-02,0.454,0.466
-1.20258e-02,0.454,0.45
-1.20256e-02,0.458,0.458
-1.20254e-02,0.458,0.454
-1.20253e-02,0.462,0.462
-1.20251e-02,0.462,0.454
-1.20250e-02,0.466,0.462
-1.20248e-02,0.466,0.458
-1.20246e-02,0.47,0.47
-1.20245e-02,0.47,0.466
-1.20243e-02,0.474,0.474
-1.20242e-02,0.47,0.466
-1.20240e-02,0.466,0.474
-1.20238e-02,0.466,0.466
-1.20237e-02,0.466,0.474
-1.20235e-02,0.462,0.462
-1.20234e-02,0.466,0.47
-1.20232e-02,0.466,0.458
-1.20230e-02,0.47,0.466
-1.20229e-02,0.47,0.462
-1.20227e-02,0.47,0.47
-1.20226e-02,0.47,0.466
-1.20224e-02,0.47,0.474
-1.20222e-02,0.474,0.466
-1.20221e-02,0.47,0.474
-1.20219e-02,0.47,0.466
-1.20218e-02,0.466,0.474
-1.20216e-02,0.466,0.466
-1.20214e-02,0.466,0.474
-1.20213e-02,0.462,0.462
-1.20211e-02,0.458,0.47
-1.20210e-02,0.458,0.458
-1.20208e-02,0.454,0.466
-1.20206e-02,0.45,0.454
-1.20205e-02,0.45,0.466
-1.20203e-02,0.45,0.446
-1.20202e-02,0.45,0.454
-1.20200e-02,0.454,0.446
-1.20198e-02,0.454,0.454
-1.20197e-02,0.454,0.446
-1.20195e-02,0.454,0.458
-1.20194e-02,0.454,0.45
-1.20192e-02,0.45,0.458
-1.20190e-02,0.45,0.45
-1.20189e-02,0.45,0.458
-1.20187e-02,0.454,0.446
-1.20186e-02,0.454,0.458
-1.20184e-02,0.458,0.45
-1.20182e-02,0.458,0.458
-1.20181e-02,0.458,0.45
-1.20179e-02,0.458,0.462
-1.20178e-02,0.458,0.454
-1.20176e-02,0.462,0.462
-1.20174e-02,0.466,0.458
-1.20173e-02,0.466,0.466
-1.20171e-02,0.47,0.462
-1.20170e-02,0.466,0.47
-1.20168e-02,0.466,0.462
-1.20166e-02,0.462,0.47
-1.20165e-02,0.458,0.458
-1.20163e-02,0.458,0.466
-1.20162e-02,0.462,0.454
-1.20160e-02,0.462,0.462
-1.20158e-02,0.458,0.458
-1.20157e-02,0.458,0.462
-1.20155e-02,0.458,0.458
-1.20154e-02,0.454,0.466
-1.20152e-02,0.45,0.45
-1.20150e-02,0.45,0.462
-1.20149e-02,0.45,0.446
-1.20147e-02,0.454,0.458
-1.20146e-02,0.454,0.446
-1.20144e-02,0.458,0.458
-1.20142e-02,0.462,0.45
-1.20141e-02,0.462,0.462
-1.20139e-02,0.462,0.454
-1.20138e-02,0.462,0.466
-1.20136e-02,0.462,0.458
-1.20134e-02,0.462,0.466
-1.20133e-02,0.462,0.458
-1.20131e-02,0.458,0.466
-1.20130e-02,0.458,0.458
-1.20128e-02,0.462,0.466
-1.20126e-02,0.462,0.454
-1.20125e-02,0.462,0.466
-1.20123e-02,0.462,0.458
-1.20122e-02,0.458,0.466
-1.20120e-02,0.462,0.458
-1.20118e-02,0.458,0.466
-1.20117e-02,0.454,0.458
-1.20115e-02,0.454,0.466
-1.20114e-02,0.454,0.45
-1.20112e-02,0.454,0.462
-1.20110e-02,0.454,0.45
-1.20109e-02,0.454,0.458
-1.20107e-02,0.454,0.45
-1.20106e-02,0.454,0.458
-1.20104e-02,0.454,0.45
-1.20102e-02,0.454,0.462
-1.20101e-02,0.454,0.45
-1.20099e-02,0.454,0.458
-1.20098e-02,0.454,0.45
-1.20096e-02,0.458,0.458
-1.20094e-02,0.462,0.454
-1.20093e-02,0.458,0.462
-1.20091e-02,0.462,0.454
-1.20090e-02,0.462,0.462
-1.20088e-02,0.462,0.458
-1.20086e-02,0.462,0.466
-1.20085e-02,0.458,0.458
-1.20083e-02,0.458,0.466
-1.20082e-02,0.458,0.454
-1.20080e-02,0.454,0.466
-1.20078e-02,0.454,0.454
-1.20077e-02,0.45,0.466
-1.20075e-02,0.45,0.45
-1.20074e-02,0.45,0.458
-1.20072e-02,0.446,0.446
-1.20070e-02,0.45,0.454
-1.20069e-02,0.45,0.446
-1.20067e-02,0.454,0.454
-1.20066e-02,0.45,0.446
-1.20064e-02,0.45,0.454
-1.20062e-02,0.45,0.446
-1.20061e-02,0.45,0.454
-1.20059e-02,0.45,0.446
-1.20058e-02,0.45,0.454
-1.20056e-02,0.45,0.446
-1.20054e-02,0.454,0.454
-1.20053e-02,0.454,0.446
-1.20051e-02,0.458,0.458
-1.20050e-02,0.462,0.45
-1.20048e-02,0.466,0.462
-1.20046e-02,0.462,0.458
-1.20045e-02,0.462,0.466
-1.20043e-02,0.462,0.458
-1.20042e-02,0.458,0.47
-1.20040e-02,0.458,0.454
-1.20038e-02,0.454,0.466
-1.20037e-02,0.454,0.454
-1.20035e-02,0.45,0.462
-1.20034e-02,0.45,0.446
-1.20032e-02,0.45,0.458
-1.20030e-02,0.45,0.446
-1.20029e-02,0.45,0.454
-1.20027e-02,0.45,0.446
-1.20026e-02,0.45,0.454
-1.20024e-02,0.45,0.446
-1.20022e-02,0.454,0.454
-1.20021e-02,0.454,0.446
-1.20019e-02,0.45,0.458
-1.20018e-02,0.45,0.446
-1.20016e-02,0.45,0.458
-1.20014e-02,0.45,0.446
-1.20013e-02,0.446,0.454
-1.20011e-02,0.446,0.446
-1.20010e-02,0.45,0.454
-1.20008e-02,0.454,0.446
-1.20006e-02,0.454,0.454
-1.20005e-02,0.458,0.45
-1.20003e-02,0.458,0.458
-1.20002e-02,0.462,0.454
-1.20000e-02,0.458,0.462
-1.19998e-02,0.458,0.454
-1.19997e-02,0.458,0.462
-1.19995e-02,0.454,0.454
-1.19994e-02,0.458,0.462
-1.19992e-02,0.458,0.454
-1.19990e-02,0.458,0.462
-1.19989e-02,0.45,0.454
-1.19987e-02,0.45,0.458
-1.19986e-02,0.454,0.45
-1.19984e-02,0.45,0.458
-1.19982e-02,0.45,0.446
-1.19981e-02,0.458,0.454
-1.19979e-02,0.462,0.45
-1.19978e-02,0.462,0.458
-1.19976e-02,0.462,0.454
