PADPAOM/AMP,Power(mW)
0,0.030
0.05,0.069
0.1,0.111
0.15,0.520
0.2,1.5
0.25,3.3
0.3,5.98
0.35,9.5
0.4,13.5
0.45,17.4
0.5,20.8
0.55,22.7
0.6,23.3
0.65,22.5
