PADPaom/AMP,Power(mW)
0,17.3
0.1,16.4
0.2,14.28
0.3,11.91
0.4,10.45
0.5,10.73
0.55,11.62
0.6,12.96
0.65,14.5
0.7,16.26
0.75,18.06
0.8,19.51
0.85,20.75
0.9,21.55
0.95,21.8
1,21.5
