PADPaom/AMP,Power(mW)
0.00,40.44
0.05,39.40
0.10,36.49
0.15,32.33
0.20,28.20
0.25,24.94
0.30,23.45
0.35,24.12
0.40,26.89
0.45,31.00
0.50,36.31
0.55,41.11
0.60,42.50
0.65,43.0
