PADPAOM/AMP,Power(mW)
0,0.000030
0.05,0.0097
0.1,0.156
0.15,0.735
0.2,2.17
0.25,4.71
0.3,8.6
0.35,13.4
0.4,18.8
0.45,24.1
0.5,28.4
