PADPaom/AMP,Power(mW)
0.00,45.1
0.05,43.7
0.10,40.0
0.15,35.1
0.20,30.3
0.25,27.1
0.30,26.8
0.35,29.7
0.40,35.5
0.45,42.7
0.50,50.4
