PAAOM/AMP,Power(mW)
0.8,20.7
0.7,20.5
0.6,20.3
0.5,19.0
0.4,15.8
0.35,13.45
0.3,10.8
0.25,8.0
0.2,5.45
0.15,3.13
0.1,1.47
0.05,0.368
0,0.030
