Amp,Power(mW)
1,24.1
0.9,22.1
0.8,19.6
0.7,16.4
0.6,13.0
0.5,9.7
0.4,6.5
0.3,3.80
0.25,2.67
0.20,1.73
0.15,0.980
0.10,0.440
0.05,0.110
0.00,0.000
