PADPAOM/AMP,Power(mW)
0,26.2
0.05,25.4
0.1,22.7
0.15,19
0.2,16.06
0.25,14.3
0.3,14.73
0.35,16.6
0.4,19.8
0.45,24
0.5,28.2
