PAAOM/AMP,Power(mW)
0.7,40.8
0.6,39.9
0.5,37.1
0.4,30.0
0.35,25.1
0.3,20.0
0.25,15.1
0.2,10.1
0.15,5.6
0.1,2.54
0.05,0.640
0.0,0.00004
