Amp,Power(mW)
1,18.6
0.9,17.7
0.8,16.0
0.7,13.8
0.6,11.2
0.5,8.45
0.4,5.72
0.3,3.37
0.25,2.38
0.20,1.55
0.15,0.878
0.10,0.396
0.05,0.098
0.00,0.000
