PAAOM/AMP,Power(mW)
0.8,19.8
0.7,19.5
0.6,19.0
0.5,18
0.4,15.1
0.35,12.7
0.3,10.2
0.25,7.6
0.2,5.17
0.15,3.1
0.1,1.38
0.05,0.350
0,0.000041
