PADPAOM/AMP,Power(mW)
0,40.95
0.05,39.75
0.1,36.5
0.15,32.7
0.2,28.07
0.25,25.2
0.3,24.3
0.35,26.04
0.4,30.26
0.45,36.2
0.5,43.0
