Parameter,Image1,Image2,Image3
1.0,408,162,55
2.0,408,172,41
3.0,408,180,37
4.0,408,171,40
5.0,408,173,31
6.0,408,164,27
7.0,408,165,32
8.0,408,161,30
9.0,408,161,26
10.0,408,167,28
11.0,408,171,28
12.0,408,172,33
13.0,408,186,30
14.0,408,178,58
15.0,408,195,50
16.0,408,165,30
17.0,408,168,35
18.0,408,180,51
19.0,408,167,36
20.0,408,156,33
21.0,408,185,41
22.0,408,185,53
23.0,408,181,43
24.0,408,174,47
25.0,408,174,49
26.0,408,170,40
27.0,408,168,68
28.0,408,158,33
29.0,408,172,38
30.0,408,158,48
31.0,408,175,51
32.0,408,158,37
33.0,408,159,54
34.0,408,170,53
35.0,408,159,44
36.0,408,155,42
37.0,408,181,62
38.0,408,181,60
39.0,408,178,50
40.0,408,179,64
41.0,408,167,40
42.0,408,176,34
43.0,408,186,58
44.0,408,171,56
45.0,408,155,45
46.0,408,177,58
47.0,408,166,59
48.0,408,168,61
49.0,408,187,66
50.0,408,172,56
51.0,408,172,46
52.0,408,172,54
53.0,408,167,66
54.0,408,162,47
55.0,408,172,43
56.0,408,170,40
57.0,408,184,54
58.0,408,162,54
59.0,408,175,59
60.0,408,162,75
61.0,408,175,69
62.0,408,188,79
63.0,408,170,60
64.0,408,171,48
65.0,408,169,67
66.0,408,173,56
67.0,408,164,41
68.0,408,178,45
69.0,408,155,46
70.0,408,172,45
71.0,408,173,64
72.0,408,159,51
73.0,408,164,73
74.0,408,188,79
75.0,408,172,69
76.0,408,191,69
77.0,408,190,77
78.0,408,165,64
79.0,408,174,57
80.0,408,166,47
81.0,408,181,47
82.0,408,186,40
83.0,408,168,58
84.0,408,168,49
85.0,408,165,48
86.0,408,170,58
87.0,408,151,47
88.0,408,175,77
89.0,408,175,65
90.0,408,171,67
91.0,408,162,56
92.0,408,173,64
93.0,408,165,35
94.0,408,161,32
95.0,408,182,57
96.0,408,163,43
97.0,408,184,49
98.0,408,177,57
99.0,408,162,55
100.0,408,160,51
101.0,408,171,69
102.0,408,169,53
103.0,408,162,56
104.0,408,173,76
105.0,408,171,61
106.0,408,167,49
107.0,408,183,53
108.0,408,160,36
109.0,408,181,52
110.0,408,179,45
111.0,408,168,46
112.0,408,171,50
113.0,408,169,65
114.0,408,167,52
115.0,408,179,63
116.0,408,178,65
117.0,408,162,66
118.0,408,160,55
119.0,408,168,39
120.0,408,164,39
121.0,408,163,40
122.0,408,174,45
123.0,408,158,49
124.0,408,178,56
125.0,408,176,54
126.0,408,176,60
127.0,408,168,64
128.0,408,171,65
129.0,408,152,49
130.0,408,159,51
131.0,408,172,58
132.0,408,155,42
133.0,408,168,31
134.0,408,176,39
135.0,408,175,44
136.0,408,170,50
137.0,408,168,40
138.0,408,167,45
139.0,408,183,48
140.0,408,178,49
141.0,408,163,52
142.0,408,184,69
143.0,408,156,54
