Parameter,Image1,Image2,Image3
1.0,560,272,7
2.0,560,317,4
3.0,560,285,3
4.0,560,278,6
5.0,560,294,8
6.0,560,290,8
7.0,560,310,12
8.0,560,297,10
9.0,560,297,8
10.0,560,300,39
11.0,560,298,105
12.0,560,312,173
13.0,560,312,185
14.0,560,293,117
15.0,560,304,48
16.0,560,289,11
17.0,560,288,6
18.0,560,292,18
19.0,560,304,4
20.0,560,295,9
21.0,560,313,3
22.0,560,304,2
23.0,560,298,3
24.0,560,293,5
25.0,560,281,3
26.0,560,285,5
27.0,560,328,6
28.0,560,293,5
29.0,560,324,4
30.0,560,316,8
31.0,560,280,22
32.0,560,319,45
33.0,560,296,43
34.0,560,306,42
35.0,560,303,27
36.0,560,293,8
37.0,560,290,7
38.0,560,295,8
39.0,560,299,7
40.0,560,287,5
41.0,560,322,4
42.0,560,293,5
43.0,560,283,3
44.0,560,301,3
45.0,560,304,5
46.0,560,301,1
47.0,560,287,2
48.0,560,302,3
49.0,560,315,4
50.0,560,298,2
51.0,560,311,7
52.0,560,311,7
53.0,560,314,7
54.0,560,305,4
55.0,560,293,8
56.0,560,283,5
57.0,560,296,10
58.0,560,302,3
59.0,560,281,3
60.0,560,300,3
61.0,560,300,4
62.0,560,281,3
63.0,560,312,4
64.0,560,306,12
65.0,560,317,2
66.0,560,298,8
67.0,560,300,33
68.0,560,303,106
69.0,560,305,181
70.0,560,293,195
71.0,560,302,163
72.0,560,290,73
73.0,560,309,42
74.0,560,269,8
75.0,560,310,9
76.0,560,284,4
77.0,560,311,8
78.0,560,289,5
79.0,560,307,4
80.0,560,305,5
81.0,560,311,3
82.0,560,304,5
83.0,560,288,6
84.0,560,285,1
85.0,560,292,6
86.0,560,292,4
87.0,560,320,6
88.0,560,309,11
89.0,560,290,21
90.0,560,312,31
91.0,560,295,24
92.0,560,310,37
93.0,560,297,21
94.0,560,284,14
95.0,560,298,5
96.0,560,295,4
97.0,560,320,3
98.0,560,297,3
99.0,560,307,3
100.0,560,315,2
101.0,560,312,5
102.0,560,278,2
103.0,560,291,4
104.0,560,308,3
105.0,560,289,3
106.0,560,305,2
107.0,560,315,2
108.0,560,303,4
109.0,560,316,6
110.0,560,300,7
111.0,560,303,7
112.0,560,296,4
113.0,560,311,7
114.0,560,326,9
115.0,560,310,6
116.0,560,309,3
117.0,560,308,7
118.0,560,291,8
119.0,560,294,10
120.0,560,286,34
121.0,560,295,78
122.0,560,295,166
123.0,560,299,212
124.0,560,299,223
125.0,560,297,163
126.0,560,296,108
127.0,560,308,43
128.0,560,298,10
129.0,560,327,12
130.0,560,307,4
131.0,560,308,6
132.0,560,275,3
133.0,560,314,7
134.0,560,312,13
135.0,560,309,30
136.0,560,299,50
137.0,560,288,77
138.0,560,294,66
139.0,560,292,84
140.0,560,298,73
141.0,560,277,72
142.0,560,316,114
143.0,560,299,114
144.0,560,281,109
145.0,560,302,118
146.0,560,297,70
147.0,560,290,24
148.0,560,301,8
149.0,560,287,4
150.0,560,282,5
151.0,560,304,8
152.0,560,305,4
153.0,560,294,9
154.0,560,328,4
155.0,560,282,3
156.0,560,295,8
157.0,560,308,26
158.0,560,289,26
159.0,560,308,19
160.0,560,290,12
161.0,560,287,4
162.0,560,301,5
163.0,560,317,3
164.0,560,284,3
165.0,560,285,4
166.0,560,288,4
167.0,560,302,3
168.0,560,289,7
169.0,560,315,10
170.0,560,298,0
171.0,560,303,3
172.0,560,325,9
173.0,560,291,5
174.0,560,287,10
175.0,560,301,11
176.0,560,297,8
177.0,560,298,10
178.0,560,289,14
179.0,560,317,3
180.0,560,295,3
181.0,560,286,3
182.0,560,315,2
183.0,560,312,2
184.0,560,305,4
185.0,560,307,4
186.0,560,302,4
187.0,560,293,7
188.0,560,304,1
189.0,560,273,7
190.0,560,290,4
191.0,560,310,2
192.0,560,280,4
193.0,560,312,9
194.0,560,285,4
195.0,560,295,7
196.0,560,306,3
197.0,560,300,4
198.0,560,313,4
199.0,560,293,3
200.0,560,304,5
201.0,560,313,9
202.0,560,312,6
203.0,560,301,4
204.0,560,285,2
205.0,560,305,1
206.0,560,302,3
207.0,560,315,4
208.0,560,307,5
209.0,560,295,5
210.0,560,280,9
211.0,560,298,10
212.0,560,303,14
213.0,560,281,2
214.0,560,310,2
215.0,560,284,0
216.0,560,270,0
217.0,560,301,3
218.0,560,307,3
219.0,560,313,3
220.0,560,292,4
221.0,560,298,4
222.0,560,300,5
223.0,560,305,4
224.0,560,283,3
225.0,560,297,10
226.0,560,294,8
227.0,560,303,12
228.0,560,294,5
229.0,560,294,7
230.0,560,289,4
231.0,560,315,9
232.0,560,317,6
233.0,560,317,1
234.0,560,298,4
235.0,560,294,5
236.0,560,299,9
237.0,560,288,4
238.0,560,308,299
