Amp,Power(mW)
1,19.2
0.9,18.0
0.8,16.7
0.7,14.5
0.6,11.9
0.5,9.1
0.4,6.2
0.3,3.7
0.25,2.63
0.20,1.71
0.15,0.98
0.10,0.44
0.05,0.11
0.00,0.00
