NaRamanF2/AMP,Power(mW)
0.00,0.0000
0.02,0.0472
0.04,0.189
0.06,0.412
0.08,0.704
0.10,1.029
0.12,1.362
0.14,1.68
0.16,1.97
0.18,2.19
0.20,2.34
0.22,2.41
0.24,2.40
0.26,2.32
0.28,2.17
