PADPAOM/AMP,Power (mW)
0,76.8
0.1,70
0.2,52.2
0.3,39.9
0.4,38.9
0.5,42.4
0.55,43.7
0.6,45
0.65,45.4
0.7,46.1
0.75,46.4
0.8,46.6
0.85,47
0.9,47
0.95,46.8
1,47
