PADPAOM/AMP,Power(mW)
0,0.000036
0.05,0.01194
0.1,0.187
0.15,0.896
0.2,2.645
0.25,5.901
0.3,10.9
0.35,17.6
0.4,25.6
0.45,34.17
0.5,42.5
