PADPaom/AMP,Power(mW)
0,0.00006
0.1,0.054
0.2,0.812
0.3,3.712
0.4,10.28
0.5,21.0
0.55,27.6
0.6,34.6
0.65,42.1
0.7,49.1
0.75,55.3
0.8,60.9
0.85,64.4
0.9,66.8
0.95,67.3
1,66.1
