PADPaom/AMP,Power(mW)
0,0.000040
0.1,0.02
0.2,0.302
0.3,1.38
0.4,3.84
0.5,7.87
0.55,10.4
0.6,13.08
0.65,15.84
0.7,18.5
0.75,20.9
0.8,22.9
0.85,24.45
0.9,25.35
0.95,25.4
1,24.9
