PAAOM/AMP,Power(mW)
1.0,29.4
0.9,29.4
0.8,29.3
0.7,29.0
0.6,28.7
0.5,27.3
0.4,22.3
0.35,18.5
0.3,14.4
0.25,10.5
0.2,6.98
0.15,4.00
0.1,1.84
0.05,0.459
0,0.00005
