PAAOM/AMP,PADPaom/AMP,Power
0.0,0.0,0.06382251305049222
0.1,0.0,0.5190875054040958
0.2,0.0,1.6909942354838663
0.3,0.0,3.11441015806452
0.4,0.0,4.283454346774176
0.5,0.0,4.828531106451614
0.6,0.0,4.904260462903232
0.7,0.0,4.884362646774213
0.0,0.05,0.06381693161290301
0.1,0.05,0.5041629453225654
0.2,0.05,1.6413026516129012
0.3,0.05,3.023320183870987
0.4,0.05,4.150564904838692
0.5,0.05,4.682299843548384
0.6,0.05,4.757187520967757
0.7,0.05,4.737802072580641
0.0,0.1,0.09188362349999996
0.1,0.1,0.49215191305049055
0.2,0.1,1.5198373032258126
0.3,0.1,2.7783100096774165
0.4,0.1,3.795008400000006
0.5,0.1,4.285508201322795
0.6,0.1,4.353920348387091
0.7,0.1,4.337259180645138
0.0,0.15,0.1787068919354824
0.1,0.15,0.5200730049999986
0.2,0.15,1.4013099435483933
0.3,0.15,2.482647709677401
0.4,0.15,3.3402936290322653
0.5,0.15,3.754222511290318
0.6,0.15,3.810247883870952
0.7,0.15,3.796292098048696
0.0,0.2,0.3904830916129028
0.1,0.2,0.6628556522580917
0.2,0.2,1.3640929193548454
0.3,0.2,2.21881993548385
0.4,0.2,2.909102259677405
0.5,0.2,3.237212819354851
0.6,0.2,3.282564501612903
0.7,0.2,3.271901603225823
0.0,0.25,0.7699587033870879
0.1,0.25,0.9772375945161419
0.2,0.25,1.4890833322580626
0.3,0.25,2.122128967741947
0.4,0.25,2.6365516967741756
0.5,0.25,2.8767210338709575
0.6,0.25,2.9080116016129067
0.7,0.25,2.9003572032258127
0.0,0.3,1.2990673838710411
0.1,0.3,1.4383247903225755
0.2,0.3,1.7977253741935557
0.3,0.3,2.2362915790322737
0.4,0.3,2.5929612709677423
0.5,0.3,2.756327535483851
0.6,0.3,2.780496896774184
0.7,0.3,2.7747315564516324
0.0,0.35,1.9470757580645082
0.1,0.35,2.0439515709677454
0.2,0.35,2.2727432483871146
0.3,0.35,2.556053035483887
0.4,0.35,2.7768392854838835
0.5,0.35,2.882758496774203
0.6,0.35,2.8978018048387244
0.7,0.35,2.8953162215771613
0.0,0.4,2.636448542170617
0.1,0.4,2.6945895129817727
0.2,0.4,2.829318243548408
0.3,0.4,2.996529174193553
0.4,0.4,3.1310323677419314
0.5,0.4,3.1980521080645135
0.6,0.4,3.2088300403225936
0.7,0.4,3.207253817741943
0.0,0.45,3.2630421903225524
0.1,0.45,3.299483545161318
0.2,0.45,3.3765717029511375
0.3,0.45,3.475773759071128
0.4,0.45,3.5514816174810626
0.5,0.45,3.5905674181583764
0.6,0.45,3.596909087243993
0.7,0.45,3.5966367989033916
0.0,0.5,3.7654724479922894
0.1,0.5,3.787749501693266
0.2,0.5,3.8366064467742036
0.3,0.5,3.893073083870986
0.4,0.5,3.9442627677418884
0.5,0.5,3.96743424032255
0.6,0.5,3.9712878838709536
0.7,0.5,3.971653674193543
0.0,0.55,4.116863511290335
0.1,0.55,4.131947841935474
0.2,0.55,4.163386219964531
0.3,0.55,4.202635970004821
0.4,0.55,4.234299798419599
0.5,0.55,4.250192788259924
0.6,0.55,4.253500822447985
0.7,0.55,4.253491804547657
0.0,0.6,4.3540504934688
0.1,0.6,4.365164737945496
0.2,0.6,4.389681924193578
0.3,0.6,4.41731092741935
0.4,0.6,4.439676296774209
0.5,0.6,4.451404366129038
0.6,0.6,4.452958358064524
0.7,0.6,4.4529160322580745
0.0,0.65,4.507889258064488
0.1,0.65,4.516863869354831
0.2,0.65,4.536652131914194
0.3,0.65,4.560113199483946
0.4,0.65,4.579273828414738
0.5,0.65,4.588410885341094
0.6,0.65,4.590619366231259
0.7,0.65,4.590370570875663
0.0,0.7,4.61160495726496
0.1,0.7,4.618139575806455
0.2,0.7,4.6343793935483815
0.3,0.7,4.6568480919354736
0.4,0.7,4.674808824193569
0.5,0.7,4.682578767741912
0.6,0.7,4.6839815935483875
0.7,0.7,4.684581117741903
0.0,0.75,4.6820301806451345
0.1,0.75,4.689372688276071
0.2,0.75,4.70665986615066
0.3,0.75,4.727409501693261
0.4,0.75,4.743778471214334
0.5,0.75,4.751291361070765
0.6,0.75,4.752880191904509
0.7,0.75,4.753748427672954
0.0,0.8,4.734945118529276
0.1,0.8,4.742408189001757
0.2,0.8,4.7586455104015375
0.3,0.8,4.777581852926922
0.4,0.8,4.793807074665376
0.5,0.8,4.800233634897623
0.6,0.8,4.801061501370767
0.7,0.8,4.8013224818577696
0.0,0.85,4.7740991985163514
0.1,0.85,4.779989782258048
0.2,0.85,4.795941280645149
0.3,0.85,4.814242248387106
0.4,0.85,4.830704827419364
0.5,0.85,4.838057951612912
0.6,0.85,4.838717167741944
0.7,0.85,4.83924576290324
0.0,0.9,4.8018547080645195
0.1,0.9,4.807333781648117
0.2,0.9,4.824405771649748
0.3,0.9,4.843678009998413
0.4,0.9,4.859129043702672
0.5,0.9,4.866404491211066
0.6,0.9,4.867712923721986
0.7,0.9,4.867708927592317
0.0,0.95,4.8253210466053655
0.1,0.95,4.830581370746667
0.2,0.95,4.847119324302547
0.3,0.95,4.865685779712998
0.4,0.95,4.881009275923248
0.5,0.95,4.889728937268188
0.6,0.95,4.8905120109659785
0.7,0.95,4.890568598613142
0.0,1.0,4.8432116029672745
0.1,1.0,4.8488662231898125
0.2,1.0,4.864448455087974
0.3,1.0,4.883877576197384
0.4,1.0,4.900755021770705
0.5,1.0,4.908445871633625
0.6,1.0,4.909824746008719
0.7,1.0,4.910399361393355
