NaRaman1/AMP,Power(mW)
1,6.31
0.9,7.16
0.8,7.8
0.7,8.12
0.6,7.65
0.5,6.60
0.4,5.00
0.35,4.03
0.3,3.19
0.25,2.33
0.2,1.56
0.15,0.898
0.1,0.416
0.05,0.102
