PAAOM/AMP,Power(mW)
0.8,17.6
0.7,17.5
0.6,17.1
0.5,16.05
0.4,13.15
0.35,11.1
0.3,8.8
0.25,6.5
0.2,4.3
0.15,2.55
0.1,1.15
0.05,0.292
0,0.00006
