PADPaom/AMP,Power(mW)
0,29.6
0.1,28.0
0.2,24.6
0.3,21.4
0.4,21.0
0.5,25.2
0.55,28.9
0.6,33.62
0.65,38.9
0.7,44.4
0.75,49.6
0.8,54.2
0.85,57.6
0.9,59.4
0.95,59.8
1,58.6
