PAAOM/AMP,Power(mW)
0.8,24.7
0.7,25.4
0.6,25
0.5,23.86
0.4,20
0.3,13.8
0.25,10.1
0.2,6.71
0.15,3.79
0.1,1.69
0.05,0.424
0,0.000030
