PADPaom/AMP,Power(mW)
0,0.000057
0.1,0.0481
0.2,0.726
0.3,3.32
0.4,9.18
0.5,18.8
0.55,24.7
0.6,31.2
0.65,37.9
0.7,44.26
0.75,49.8
0.8,54.5
0.85,57.9
0.9,59.4
0.95,59.7
1,58.6
