PAAOM/AMP,Power(mW)
0.8,20.7
0.7,20.5
0.6,20.1
0.5,19.2
0.4,15.75
0.35,13.14
0.3,10.37
0.25,7.6
0.2,5.04
0.15,2.91
0.1,1.33
0.05,0.335
0,0.00006
