PADPaom/AMP,Power(mW)
0,52.7
0.1,49.8
0.2,43.2
0.3,35.8
0.4,31.2
0.5,32.3
0.55,35.0
0.6,39.6
0.65,45.0
0.7,50.4
0.75,55.7
0.8,61.0
0.85,65.0
0.9,67.4
0.95,67.8
1,66.5
