PAAOM/AMP,Power(mW)
0.8,45.6
0.7,45.4
0.6,44.2
0.5,41.5
0.4,34.0
0.35,28.5
0.30,22.7
0.25,16.8
0.20,11.3
0.15,6.6
0.1,3.1
0.05,0.77
0,0
