Wavelength(nm),Power(W)
693.8,0.441
700,1.10
710,1.69
720,2.08
730,2.35
740,2.54
750,2.70
760,2.72
770,2.82
780,2.82
790,2.75
800,2.65
810,2.56
820,2.63
830,2.54
840,2.43
850,2.22
860,1.80
870,1.24
880,1.41
890,1.31
900,1.25
910,1.40
920,1.29
930,0.686
940,0.642
950,0.863
960,0.934
970,0.783
980,0.312
990,0.244
1000,0.308
1010,0.333
1020,0.351
