Amp,Power(mW)
1,17.5
0.9,15.6
0.8,13.7
0.7,11.4
0.6,9.00
0.5,6.67
0.4,4.49
0.3,2.63
0.25,1.87
0.20,1.20
0.15,0.682
0.10,0.305
0.05,0.076
0.00,0.000
