PAAOM/AMP,Power(mW)
0.8,40.56
0.7,40.44
0.6,39.66
0.5,36.86
0.4,30.05
0.35,25.47
0.30,20.24
0.25,15.01
0.20,10.08
0.15,5.87
0.1,2.70
0.05,0.677
0,0
