PADPAOM/AMP,Power(mW)
0,7E-05
0.1,0.051
0.2,0.767
0.3,3.52
0.4,9.75
0.5,19.9
0.55,26
0.6,32.8
0.65,39.6
0.7,46.4
0.75,52.2
0.8,57.3
0.85,60.8
0.9,62.7
0.95,62.9
1,61.4
