PADPaom/AMP,Power(mW)
0.00,0
0.05,0.00964
0.10,0.154
0.15,0.732
0.20,2.172
0.25,4.831
0.30,8.96
0.35,14.41
0.40,20.90
0.45,27.89
0.50,34.40
0.55,39.45
0.60,41.48
0.65,42.62
