PADPAOM/AMP,Power(mW)
0,19.8
0.05,19.4
0.1,17.7
0.15,15.4
0.2,13.2
0.25,11.8
0.3,11.6
0.35,12.8
0.4,15.2
0.45,18.3
0.5,21.2
0.55,23.4
0.6,24.1
0.65,23.3
