PADPaom/AMP,Power(mW)
0,19.6
0.1,18.8
0.2,16.24
0.3,13.5
0.4,11.8
0.5,12.2
0.55,13.24
0.6,14.9
0.65,16.82
0.7,18.95
0.75,21
0.8,22.85
0.85,24.3
0.9,25.22
0.95,25.3
1,25
