PADPaom/AMP,Power(mW)
0,0.00006
0.1,0.041
0.2,0.619
0.3,2.81
0.4,7.79
0.5,15.9
0.55,20.88
0.6,26.36
0.65,32
0.7,37.4
0.75,42.1
0.8,46
0.85,48.9
0.9,50.3
0.95,50.5
1,49.3
