PAAOM/AMP,Power(mW)
0.8,52.0
0.7,52.2
0.6,51.5
0.5,49.5
0.4,43.0
0.35,37.7
0.3,31.2
0.25,23.7
0.2,16.5
0.15,9.8
0.1,4.55
0.05,1.16
0,0.00006
