PADPAOM/AMP,Power(mW)
0,49.2
0.1,46.8
0.2,40.9
0.3,34.2
0.4,30.1
0.5,31.5
0.55,34
0.6,38.2
0.65,43.1
0.7,48.4
0.75,53.5
0.8,57.7
0.85,61.4
0.9,63.4
0.95,63.9
1,62.7
