PADPaom/AMP,Power(mW)
0,0.00006
0.1,0.016
0.2,0.253
0.3,1.16
0.4,3.22
0.5,6.60
0.55,8.71
0.6,11.08
0.65,13.44
0.7,15.65
0.75,17.65
0.8,19.29
0.85,20.55
0.9,21.26
0.95,21.52
1,21.13
