PADPaom/AMP,Power(mW)
0,20.2
0.1,19.3
0.2,17.33
0.3,15.96
0.4,17.0
0.5,21.6
0.55,25
0.6,29.36
0.65,34
0.7,38.5
0.75,42.8
0.8,46.2
0.85,48.9
0.9,50.3
0.95,50.7
1,49.2
