NaRamanF1/AMP,Power(mW)
0.00,0.0001
0.05,0.107
0.10,0.427
0.15,0.934
0.20,1.602
0.25,2.38
0.30,3.25
0.35,4.13
0.40,5.00
0.45,5.81
0.50,6.48
0.55,7.00
0.60,7.34
0.65,7.56
0.70,7.57
0.75,7.41
0.80,7.10
