X,Y,Err
-28.5,0.01020408163265306,0.007584807308565658
-28.0,0.0014285714285714286,0.0014285714285714286
-27.625,0.00403225806451613,0.004032258064516129
-27.0,0.0015337423312883438,0.0015337423312883438
-26.75,0.004347826086956522,0.004347826086956522
-26.0,0.007022471910112359,0.0042029197119711325
-25.875,0.004310344827586207,0.004310344827586207
-25.0,0.003073770491803279,0.002289170713611602
-24.125,0.004237288135593221,0.004237288135593221
-24.0,0.0038363171355498722,0.0028564877201202104
-23.25,0.012096774193548388,0.008987033665729099
-23.0,0.006648936170212766,0.003979894203282604
-22.375,0.011029411764705883,0.008196443920299421
-22.0,0.015988372093023253,0.006614323150771602
-21.5,0.018518518518518517,0.011037159466711828
-21.0,0.01532033426183844,0.006339827727480868
-20.625,0.0036764705882352945,0.0036764705882352945
-20.0,0.011658031088082903,0.005314633805041305
-19.75,0.004,0.004
-19.0,0.012893982808022923,0.005874989762071255
-18.875,0.0040650406504065045,0.0040650406504065045
-18.0,0.007246376811594202,0.003721717270553513
-17.125,0.0037593984962406017,0.0037593984962406017
-17.0,0.0014492753623188406,0.0014492753623188406
-16.25,0.010714285714285716,0.007962942729163827
-16.0,0.006925207756232688,0.004144852389189924
-15.375,0.0035714285714285718,0.0035714285714285713
-15.0,0.0013774104683195593,0.0013774104683195593
-14.5,0.010714285714285716,0.007962942729163827
-14.0,0.004424778761061948,0.003294130052407074
-13.625,0.004273504273504274,0.004273504273504274
-13.0,0.0013477088948787063,0.0013477088948787063
-12.75,0.004310344827586207,0.004310344827586207
-12.0,0.0014285714285714286,0.0014285714285714286
-11.875,0.003937007874015748,0.003937007874015748
-11.0,0.005175983436853002,0.0030998575421119314
-10.125,0.011904761904761904,0.008844845533812718
-10.0,0.009408602150537636,0.004828050715057166
-9.25,0.01984126984126984,0.011819802661035852
-9.0,0.031420765027322405,0.009028181212657227
-8.375,0.027559055118110236,0.014038227192743178
-8.0,0.07513661202185791,0.013730083104084077
-7.5,0.07589285714285715,0.024732986420991997
-7.0,0.125,0.0174962976211499
-6.625,0.11693548387096774,0.02869030705848831
-6.0,0.3166666666666666,0.025601061025416337
-5.75,0.2441860465116279,0.037772058611546463
-5.0,0.43333333333333335,0.026678039367963185
-4.875,0.32608695652173914,0.043687520826955886
-4.0,0.5514705882352942,0.022795455154721155
-3.125,0.6063829787234042,0.04113649858290129
-3.0,0.7045454545454545,0.02510788764688912
-2.25,0.74609375,0.038422100473692634
-2.0,0.7421652421652422,0.02333873204872712
-1.375,0.6865079365079364,0.04130188011560002
-1.0,0.6253333333333333,0.02499330867077301
-0.5,0.6238938053097345,0.0455558855795885
0.0,0.46120689655172414,0.0267217870461579
0.375,0.508,0.04471558867965111
1.0,0.28983516483516486,0.023772563813872504
1.25,0.375968992248062,0.04263565891472868
2.0,0.14440993788819875,0.019557353168695935
2.125,0.15073529411764708,0.030571825558934083
3.0,0.08035714285714286,0.012080235464288755
3.875,0.03658536585365854,0.016499964365040816
4.0,0.036885245901639344,0.009770190114262695
4.75,0.06250000000000001,0.02050393181913101
5.0,0.012362637362637364,0.0056341611956118205
5.625,0.038135593220338986,0.017187409843064293
6.0,0.004109589041095891,0.003059738915529961
6.5,0.0036496350364963502,0.0036496350364963502
7.0,0.00436046511627907,0.003246306389206258
7.375,0.0037593984962406017,0.0037593984962406017
8.0,0.010174418604651164,0.005219428725780659
8.25,0.046610169491525424,0.019018438539377232
9.0,0.0071633237822349575,0.004287001938633311
9.125,0.013636363636363637,0.010126577779621644
10.0,0.0011086474501108647,0.0011086474501108647
10.875,0.01838235294117647,0.010956549452574136
11.0,0.009887005649717517,0.0050725719375451575
11.75,0.003731343283582089,0.0037313432835820895
12.0,0.004098360655737705,0.0030513881801089255
12.625,0.012195121951219513,0.009059855889732148
13.0,0.01196808510638298,0.005455262029331088
13.5,0.004273504273504274,0.004273504273504274
14.0,0.008997429305912597,0.0046178168096506125
14.375,0.026119402985074622,0.013312752699705277
15.0,0.012129380053908357,0.005528404233366533
15.25,0.021929824561403508,0.013053980812149809
16.0,0.004225352112676057,0.0031458308703192143
16.125,0.028,0.014260253809441032
17.0,0.009336099585062242,0.004260309650354316
18.0,0.006775067750677506,0.004055209824284912
19.0,0.004201680672268907,0.0031282270707296785
20.0,0.004087193460490464,0.003043082902581121
21.0,0.007102272727272727,0.004250558259514814
22.0,0.0071633237822349575,0.004287001938633311
23.0,0.004411764705882353,0.0032844529276080713
24.0,0.00414364640883978,0.0030850676321493085
25.0,0.004237288135593221,0.003154707277147318
26.0,0.007142857142857143,0.004274784808474298
27.0,0.004373177842565597,0.0032557597115426026
28.0,0.008838383838383838,0.004536477660592348
29.0,0.00403225806451613,0.003002225566508228
30.0,0.001497005988023952,0.001497005988023952
31.0,0.010324483775811211,0.005296092587694036
32.0,0.012430939226519338,0.005665124693113991
33.0,0.001326259946949602,0.001326259946949602
34.0,0.004464285714285715,0.0033235066215640463
35.0,0.006426735218508997,0.0038471969884262304
36.0,0.007374631268436578,0.00441312692053023
37.0,0.0013850415512465374,0.0013850415512465374
38.0,0.0014492753623188406,0.0014492753623188406
39.0,0.007042253521126761,0.004214728960449485
40.0,0.001388888888888889,0.001388888888888889
41.0,0.007267441860465115,0.004349150234758464
42.0,0.0014326647564469916,0.0014326647564469916
43.0,0.0041666666666666675,0.0031021877046089673
44.0,0.0014245014245014244,0.0014245014245014244
45.0,0.0015873015873015873,0.001587301587301587
46.0,0.007042253521126761,0.004214728960449485
47.0,0.007288629737609328,0.0043617967488584495
48.0,0.012195121951219513,0.009059855889732148
49.0,0.013636363636363637,0.010126577779621644
50.0,0.004310344827586207,0.004310344827586207
51.0,0.004310344827586207,0.004310344827586207
52.0,0.004464285714285715,0.004464285714285715
53.0,0.013513513513513514,0.010035684609424037
54.0,0.004587155963302752,0.004587155963302752
55.0,0.020833333333333332,0.012406277965604779
56.0,0.004273504273504274,0.004273504273504274
57.0,0.01171875,0.008707086397354968
58.0,0.004716981132075472,0.004716981132075472
59.0,0.012195121951219513,0.009059855889732148
60.0,0.004464285714285715,0.004464285714285715
61.0,0.004587155963302752,0.004587155963302752
62.0,0.01327433628318584,0.009858706675399634
63.0,0.004424778761061947,0.004424778761061947
64.0,0.004854368932038835,0.004854368932038835
65.0,0.004237288135593221,0.004237288135593221
66.0,0.012396694214876033,0.009209098980962413
