X,Y,Err
-70,0.006578947368421052,0.006578947368421052
-69,0.00684931506849315,0.00684931506849315
-68,0.006666666666666666,0.006666666666666666
-67,0.006944444444444445,0.006944444444444445
-66,0.007575757575757577,0.007575757575757576
-65,0.007692307692307693,0.007692307692307693
-64,0.006578947368421052,0.006578947368421052
-63,0.008620689655172414,0.008620689655172414
-62,0.01807228915662651,0.013404419242382162
-61,0.006493506493506494,0.006493506493506494
-60,0.008333333333333333,0.008333333333333333
-59,0.007142857142857143,0.007142857142857143
-58,0.0189873417721519,0.014079565872602385
-57,0.008064516129032258,0.008064516129032258
-56,0.005747126436781609,0.005747126436781609
-55,0.007246376811594203,0.007246376811594203
-54,0.007042253521126761,0.007042253521126761
-53,0.005952380952380953,0.005952380952380952
-52,0.005813953488372093,0.005813953488372093
-51,0.007936507936507936,0.007936507936507936
-50,0.007042253521126761,0.007042253521126761
-49,0.007352941176470588,0.007352941176470588
-48,0.0189873417721519,0.014079565872602385
-47,0.007575757575757577,0.007575757575757576
-46,0.015789473684210523,0.011718591910192769
-45,0.007042253521126761,0.007042253521126761
-44,0.007352941176470588,0.007352941176470588
-43,0.007042253521126761,0.007042253521126761
-42,0.006944444444444445,0.006944444444444445
-41,0.00819672131147541,0.00819672131147541
-40,0.005952380952380953,0.005952380952380952
-39,0.007142857142857143,0.007142857142857143
-38,0.006756756756756756,0.006756756756756757
-37,0.032051282051282055,0.019007472612900672
-36,0.02112676056338028,0.015656716400370665
-35,0.00684931506849315,0.00684931506849315
-34,0.006666666666666666,0.006666666666666666
-33,0.025423728813559324,0.018818587056776085
-32,0.006578947368421052,0.006578947368421052
-31,0.006024096385542169,0.006024096385542169
-30,0.007042253521126761,0.007042253521126761
-29,0.007246376811594203,0.007246376811594203
-28,0.019230769230769232,0.014259113531595648
-27,0.020270270270270268,0.015025552680584328
-26,0.07142857142857144,0.02880966974122707
-25,0.1956521739130435,0.047550161184601335
-24,0.4214285714285714,0.0590081180905775
-23,0.7153846153846154,0.055868611716669035
-22,0.6418918918918919,0.055700804528874194
-21,0.5,0.058520573598065284
-20,0.25999999999999995,0.05054656224665486
-19,0.03787878787878788,0.022414317718040744
-18,0.018292682926829267,0.013567062597900258
-17,0.03378378378378378,0.02002192680184154
-16,0.007352941176470588,0.007352941176470588
-15,0.006666666666666666,0.006666666666666666
-14,0.0078125,0.0078125
-13,0.01948051948051948,0.014443299117645551
-12,0.020833333333333332,0.015440518916576138
-11,0.00684931506849315,0.00684931506849315
