X,Y,Err
-83,0.0027322404371584704,0.00273224043715847
-82,0.002645502645502646,0.002645502645502646
-81,0.0029411764705882353,0.0029411764705882353
-80,0.0029239766081871343,0.0029239766081871343
-79,0.00824175824175824,0.006129453072505386
-78,0.0029069767441860465,0.0029069767441860465
-77,0.0027322404371584704,0.00273224043715847
-76,0.00925925925925926,0.006884276576330686
-75,0.007731958762886597,0.005751105225054003
-74,0.00824175824175824,0.006129453072505386
-73,0.008823529411764706,0.006561085972850678
-72,0.002777777777777778,0.002777777777777778
-71,0.002777777777777778,0.002777777777777778
-70,0.0026737967914438505,0.00267379679144385
-69,0.007894736842105262,0.005871922473742759
-68,0.003105590062111801,0.003105590062111801
-67,0.00892857142857143,0.006639005048969766
-66,0.002564102564102564,0.002564102564102564
-65,0.003048780487804878,0.003048780487804878
-64,0.0030303030303030303,0.0030303030303030303
-63,0.015723270440251572,0.009380737792800358
-62,0.0057692307692307696,0.004293484461206795
-61,0.005597014925373134,0.004165514085561839
-60,0.018072289156626502,0.008216247047920032
-59,0.022968197879858657,0.00874323802342485
-58,0.07551020408163266,0.016790415518091083
-57,0.19556451612903228,0.025156270428643258
-56,0.2971311475409836,0.029244227634709897
-55,0.3815789473684211,0.029781379814554424
-54,0.38319672131147536,0.031119866752314283
-53,0.29116465863453816,0.028777776493140835
-52,0.14638783269961977,0.02175574547215799
-51,0.036679536679536676,0.01154178410148079
-50,0.027675276752767524,0.009810585096821395
-49,0.0018796992481203009,0.0018796992481203009
-48,0.001968503937007874,0.001968503937007874
-47,0.001792114695340502,0.0017921146953405018
-46,0.0018656716417910447,0.0018656716417910447
-45,0.009025270758122744,0.005397694143373592
-44,0.021825396825396828,0.009005749687685095
-43,0.029069767441860465,0.010298223150480845
-42,0.012773722627737228,0.0065460179654926315
-41,0.030612244897959183,0.010836854088945145
-40,0.029545454545454545,0.011213201007096081
-39,0.03205128205128205,0.011338646228314932
-38,0.06041666666666667,0.015269520929275318
-37,0.031135531135531136,0.01037005710048105
-36,0.03725490196078432,0.011719588233443705
-35,0.040697674418604654,0.01217134183770196
-34,0.019823788546255508,0.009005771101513597
-33,0.011111111111111108,0.006640158940746631
-32,0.029296875,0.010377578699657537
-31,0.04693877551020409,0.013385078354018053
-30,0.028846153846153848,0.010220071627207351
-29,0.026859504132231402,0.010206379365176566
-28,0.04496402877697841,0.012319891508380827
-27,0.03695652173913044,0.012274833258383595
-26,0.099609375,0.018651687082617482
-25,0.15625000000000003,0.02197926059120994
-24,0.17633928571428573,0.025422675394477245
-23,0.23563218390804597,0.026249674240369926
-22,0.1730769230769231,0.022340834762790827
-21,0.11213235294117647,0.019078355688736708
-20,0.10493827160493827,0.01959269388338506
-19,0.04807692307692308,0.013152505242053329
-18,0.03653846153846154,0.011498172408971361
-17,0.010460251046025104,0.0062526663520778404
-16,0.03009259259259259,0.011417982768166456
-15,0.0021186440677966106,0.0021186440677966106
-14,0.015151515151515152,0.009041501610452283
-13,0.002645502645502646,0.002645502645502646
-12,0.01282051282051282,0.0076569811786707815
-11,0.003048780487804878,0.003048780487804878
-10,0.00824175824175824,0.006129453072505386
-9,0.0027624309392265197,0.0027624309392265197
-8,0.012626262626262628,0.0075414973320141595
-7,0.008333333333333333,0.0061974043945066445
-6,0.002564102564102564,0.002564102564102564
-5,0.002890173410404624,0.002890173410404624
-4,0.0031645569620253164,0.003164556962025316
-3,0.007936507936507936,0.00590292411109373
-2,0.02046783625730994,0.010456328123975319
-1,0.0025906735751295338,0.0025906735751295338
0,0.009677419354838708,0.0071943627298545225
1,0.009146341463414635,0.0068005303191559716
2,0.012315270935960592,0.007356575136791541
3,0.002717391304347826,0.002717391304347826
4,0.003012048192771084,0.003012048192771084
5,0.002688172043010753,0.002688172043010753
6,0.007575757575757576,0.005635159391889761
7,0.002645502645502646,0.002645502645502646
8,0.007692307692307693,0.005721673756911726
9,0.012886597938144331,0.007696265744765061
10,0.015432098765432098,0.009207996530353334
11,0.0027624309392265197,0.0027624309392265197
12,0.002994011976047904,0.0029940119760479035
13,0.014124293785310736,0.008431666748526967
14,0.008333333333333333,0.0061974043945066445
15,0.007853403141361256,0.005841244765008434
16,0.0029411764705882353,0.0029411764705882353
17,0.014705882352941175,0.008776997620484535
18,0.0029761904761904765,0.002976190476190476
19,0.00847457627118644,0.006302204001955844
20,0.008982035928143714,0.0066786627380115695
21,0.003048780487804878,0.003048780487804878
22,0.002873563218390804,0.002873563218390804
23,0.002717391304347826,0.002717391304347826
24,0.002717391304347826,0.002717391304347826
25,0.007894736842105262,0.005871922473742759
26,0.0026595744680851063,0.0026595744680851063
27,0.0028409090909090906,0.0028409090909090906
28,0.003289473684210526,0.003289473684210526
29,0.009036144578313253,0.006718797048303219
30,0.002873563218390804,0.002873563218390804
31,0.008379888268156424,0.006231948175959728
32,0.003289473684210526,0.003289473684210526
33,0.013089005235602094,0.007816575725571998
34,0.00920245398773006,0.006842147205141353
35,0.014367816091954023,0.008576281428547895
36,0.0031847133757961785,0.0031847133757961785
37,0.02631578947368421,0.011921626516044
