X,Y,Err
-70,0.01327433628318584,0.009858706675399634
-69,0.004672897196261682,0.004672897196261682
-68,0.004237288135593221,0.004237288135593221
-67,0.004807692307692307,0.004807692307692307
-66,0.0040650406504065045,0.0040650406504065045
-65,0.004672897196261682,0.004672897196261682
-64,0.0045045045045045045,0.0045045045045045045
-63,0.004901960784313725,0.004901960784313725
-62,0.004672897196261682,0.004672897196261682
-61,0.029166666666666667,0.014847300886158007
-60,0.039473684210526314,0.017780005178641253
-59,0.03684210526315789,0.018694971902116747
-58,0.0514018691588785,0.020927383074264023
-57,0.10360360360360361,0.028701860039772962
-56,0.06565656565656566,0.024499172938455483
-55,0.06410256410256411,0.02233303437721501
-54,0.07075471698113207,0.02457059730266359
-53,0.013761467889908256,0.010219132342387064
-52,0.004587155963302752,0.004587155963302752
-51,0.004424778761061947,0.004424778761061947
-50,0.014705882352941176,0.010917620867024861
-49,0.004347826086956522,0.004347826086956522
-48,0.004464285714285715,0.004464285714285715
-47,0.004237288135593221,0.004237288135593221
-46,0.024509803921568627,0.014575883051943742
-45,0.04205607476635513,0.018921614062018886
-44,0.028688524590163935,0.014606777782349225
-43,0.030172413793103446,0.01535291130165846
-42,0.030172413793103446,0.01535291130165846
-41,0.09813084112149532,0.028510959584943246
-40,0.0811965811965812,0.024994300085015256
-39,0.10606060606060608,0.03068711445618577
-38,0.04824561403508772,0.019670964250905334
-37,0.0990566037735849,0.02876603527250417
-36,0.1179245283018868,0.031115735318113884
-35,0.07327586206896552,0.023911310347819913
-34,0.04285714285714286,0.019275197240912628
-33,0.05,0.02036980872737047
-32,0.06343283582089551,0.020800419226331864
-31,0.014705882352941176,0.010917620867024861
-30,0.024038461538461536,0.014298064147424874
-29,0.015,0.011135075167680683
-28,0.020325203252032523,0.01210594253194796
-27,0.02136752136752137,0.012721892026582174
-26,0.07727272727272728,0.025165311355014347
-25,0.09047619047619047,0.027719282557481222
-24,0.2056451612903226,0.036217399121886124
-23,0.33181818181818185,0.044869039688540696
-22,0.33796296296296297,0.04549100597288108
-21,0.2619047619047619,0.04284696663882129
-20,0.2757009345794392,0.04314887355635577
-19,0.18877551020408165,0.039401226699087126
-18,0.12809917355371903,0.03022466702133842
-17,0.0625,0.021791683069014935
-16,0.013636363636363637,0.010126577779621644
-15,0.025252525252525252,0.015013457465140557
-14,0.016304347826086956,0.012099007662380491
-13,0.005263157894736842,0.005263157894736842
-12,0.004237288135593221,0.004237288135593221
-11,0.005154639175257731,0.005154639175257731
