Parameter,Image1,Image2,Image3
1.0,1428,851,1
2.0,1428,841,7
3.0,1428,862,23
4.0,1428,856,25
5.0,1428,868,43
6.0,1428,844,53
7.0,1428,868,69
8.0,1428,855,88
9.0,1428,861,95
10.0,1428,827,114
11.0,1428,898,127
12.0,1428,857,150
13.0,1428,842,172
14.0,1428,856,164
15.0,1428,872,188
16.0,1428,847,193
17.0,1428,856,171
18.0,1428,837,186
19.0,1428,857,170
20.0,1428,857,191
21.0,1428,832,179
22.0,1428,868,185
23.0,1428,843,161
24.0,1428,863,168
25.0,1428,824,177
26.0,1428,840,155
27.0,1428,848,158
28.0,1428,841,149
29.0,1428,842,156
30.0,1428,880,142
31.0,1428,853,139
32.0,1428,850,141
33.0,1428,881,139
34.0,1428,834,125
35.0,1428,855,122
36.0,1428,863,122
37.0,1428,832,124
38.0,1428,842,105
39.0,1428,835,123
40.0,1428,859,126
41.0,1428,852,103
42.0,1428,848,0
43.0,1428,835,8
44.0,1428,857,9
45.0,1428,852,12
46.0,1428,864,24
47.0,1428,841,46
48.0,1428,855,47
49.0,1428,860,61
50.0,1428,856,75
51.0,1428,875,81
52.0,1428,865,113
53.0,1428,843,134
54.0,1428,853,143
55.0,1428,866,179
56.0,1428,873,193
57.0,1428,841,215
58.0,1428,815,225
59.0,1428,871,248
60.0,1428,825,277
61.0,1428,856,279
62.0,1428,846,279
63.0,1428,845,309
64.0,1428,845,294
65.0,1428,840,283
66.0,1428,846,321
67.0,1428,843,299
68.0,1428,823,292
69.0,1428,812,291
70.0,1428,836,288
71.0,1428,835,294
72.0,1428,838,299
73.0,1428,841,300
74.0,1428,836,280
75.0,1428,902,276
76.0,1428,839,255
77.0,1428,834,255
78.0,1428,846,230
79.0,1428,835,240
80.0,1428,860,233
81.0,1428,853,195
82.0,1428,869,231
83.0,1428,846,4
84.0,1428,842,11
85.0,1428,842,12
86.0,1428,831,21
87.0,1428,860,43
88.0,1428,843,61
89.0,1428,850,76
90.0,1428,877,94
91.0,1428,865,116
92.0,1428,860,137
93.0,1428,857,182
94.0,1428,860,186
95.0,1428,853,227
96.0,1428,815,245
97.0,1428,831,262
98.0,1428,838,299
99.0,1428,869,308
100.0,1428,853,312
101.0,1428,857,347
102.0,1428,863,295
103.0,1428,887,337
104.0,1428,833,311
105.0,1428,849,309
106.0,1428,856,294
107.0,1428,829,281
108.0,1428,862,303
109.0,1428,852,286
110.0,1428,801,249
111.0,1428,843,212
112.0,1428,855,258
113.0,1428,843,235
114.0,1428,847,229
115.0,1428,833,217
116.0,1428,860,209
117.0,1428,848,193
118.0,1428,808,182
119.0,1428,860,201
120.0,1428,842,169
121.0,1428,831,159
122.0,1428,835,167
123.0,1428,840,179
