Parameter,Image1,Image2,Image3
-10000.0,500,231,24
-7000.0,500,258,31
-4000.0,500,240,22
-1000.0,500,258,17
2000.0,500,235,7
5000.0,500,240,16
8000.0,500,251,9
11000.0,500,247,18
14000.0,500,243,33
17000.0,500,253,85
20000.0,500,250,78
23000.0,500,238,84
26000.0,500,248,68
29000.0,500,265,52
32000.0,500,265,32
35000.0,500,243,31
38000.0,500,243,33
41000.0,500,240,77
44000.0,500,245,83
47000.0,500,255,80
50000.0,500,248,73
53000.0,500,245,33
56000.0,500,239,39
59000.0,500,252,19
62000.0,500,246,32
65000.0,500,247,40
68000.0,500,249,67
71000.0,500,267,96
74000.0,500,230,72
77000.0,500,249,58
80000.0,500,255,45
83000.0,500,234,20
86000.0,500,254,19
89000.0,500,249,27
92000.0,500,243,27
95000.0,500,256,21
98000.0,500,250,23
101000.0,500,246,23
104000.0,500,253,12
107000.0,500,250,10
110000.0,500,227,5
