-150,890,544,1
-142,890,521,5
-134,890,542,6
-126,890,507,26
-118,890,539,48
-110,890,505,127
-102,890,529,253
-94,890,531,243
-86,890,538,156
-78,890,522,55
-70,890,519,29
-62,890,523,18
-54,890,533,17
-46,890,541,7
-38,890,505,5
-30,890,509,7
-22,890,516,7
-14,890,494,0
-6,890,508,9
2,890,505,4
10,890,547,16
18,890,543,12
26,890,510,33
34,890,527,66
42,890,506,175
50,890,513,282
58,890,505,255
66,890,521,128
74,890,529,55
82,890,538,32
90,890,536,17
98,890,510,9
106,890,502,6
114,890,515,2
122,890,526,2
130,890,538,7
138,890,504,7
146,890,542,18
154,890,534,67
162,890,524,116
170,890,500,178
178,890,533,175
186,890,516,79
194,890,527,26
202,890,510,18
210,890,518,13
218,890,570,8
226,890,531,6
234,890,531,2
242,890,529,1
250,890,533,4
