-150,900,525,2
-142,900,523,0
-134,900,570,5
-126,900,529,4
-118,900,514,13
-110,900,518,62
-102,900,540,231
-94,900,524,240
-86,900,551,118
-78,900,537,46
-70,900,539,24
-62,900,523,11
-54,900,505,9
-46,900,576,5
-38,900,530,4
-30,900,508,5
-22,900,524,6
-14,900,540,3
-6,900,520,4
2,900,517,6
10,900,503,14
18,900,547,71
26,900,559,89
34,900,538,121
42,900,548,228
50,900,542,228
58,900,541,115
66,900,548,51
74,900,534,17
82,900,545,14
90,900,543,7
98,900,529,5
106,900,539,4
114,900,523,4
122,900,528,3
130,900,502,6
138,900,535,4
146,900,535,9
154,900,515,9
162,900,523,37
170,900,539,162
178,900,517,180
186,900,541,83
194,900,523,24
202,900,536,19
210,900,541,7
218,900,520,1
226,900,505,4
234,900,541,1
242,900,524,1
250,900,526,1
