5.0,1169,658,4
6.5,1169,676,3
8.0,1169,659,4
9.5,1169,665,3
11.0,1169,654,4
12.5,1169,654,8
14.0,1169,654,20
15.5,1169,666,62
17.0,1169,644,150
18.5,1169,661,240
20.0,1169,634,219
21.5,1169,659,201
23.0,1169,665,114
24.5,1169,633,37
26.0,1169,671,13
27.5,1169,662,12
29.0,1169,647,9
30.5,1169,648,10
32.0,1169,685,5
33.5,1169,638,9
35.0,1169,660,5
55.0,1169,659,12
56.5,1169,650,4
58.0,1169,672,7
59.5,1169,670,6
61.0,1169,703,10
62.5,1169,647,9
64.0,1169,680,12
65.5,1169,662,6
67.0,1169,659,8
68.5,1169,658,7
70.0,1169,651,8
71.5,1169,643,16
73.0,1169,690,13
74.5,1169,616,7
76.0,1169,647,6
77.5,1169,660,6
79.0,1169,666,6
80.5,1169,664,3
82.0,1169,656,6
83.5,1169,642,5
85.0,1169,646,9
