Model,DPO2024B
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.002
Sample Interval,1.6e-07
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH1
-1.10453e-02,0.472844
-1.10451e-02,0.472703
-1.10450e-02,0.472891
-1.10448e-02,0.472422
-1.10446e-02,0.473016
-1.10445e-02,0.472844
-1.10443e-02,0.473172
-1.10442e-02,0.473203
-1.10440e-02,0.473516
-1.10438e-02,0.473453
-1.10437e-02,0.472969
-1.10435e-02,0.473328
-1.10434e-02,0.473094
-1.10432e-02,0.473047
-1.10430e-02,0.473141
-1.10429e-02,0.472563
-1.10427e-02,0.472609
-1.10426e-02,0.472156
-1.10424e-02,0.471969
-1.10422e-02,0.472063
-1.10421e-02,0.472109
-1.10419e-02,0.471938
-1.10418e-02,0.472047
-1.10416e-02,0.472281
-1.10414e-02,0.472141
-1.10413e-02,0.472344
-1.10411e-02,0.472281
-1.10410e-02,0.472422
-1.10408e-02,0.4725
-1.10406e-02,0.472484
-1.10405e-02,0.472984
-1.10403e-02,0.472516
-1.10402e-02,0.472859
-1.10400e-02,0.47275
-1.10398e-02,0.473156
-1.10397e-02,0.473328
-1.10395e-02,0.473297
-1.10394e-02,0.473266
-1.10392e-02,0.473047
-1.10390e-02,0.473297
-1.10389e-02,0.472922
-1.10387e-02,0.472922
-1.10386e-02,0.472688
-1.10384e-02,0.473078
-1.10382e-02,0.473328
-1.10381e-02,0.473266
-1.10379e-02,0.473
-1.10378e-02,0.473016
-1.10376e-02,0.473391
-1.10374e-02,0.47375
-1.10373e-02,0.473688
-1.10371e-02,0.473828
-1.10370e-02,0.473969
-1.10368e-02,0.473734
-1.10366e-02,0.473625
-1.10365e-02,0.474063
-1.10363e-02,0.473438
-1.10362e-02,0.473734
-1.10360e-02,0.473969
-1.10358e-02,0.474281
-1.10357e-02,0.47425
-1.10355e-02,0.474047
-1.10354e-02,0.474016
-1.10352e-02,0.473734
-1.10350e-02,0.473594
-1.10349e-02,0.473688
-1.10347e-02,0.473297
-1.10346e-02,0.473703
-1.10344e-02,0.473719
-1.10342e-02,0.473578
-1.10341e-02,0.473391
-1.10339e-02,0.473328
-1.10338e-02,0.473125
-1.10336e-02,0.473391
-1.10334e-02,0.473531
-1.10333e-02,0.473734
-1.10331e-02,0.47375
-1.10330e-02,0.473734
-1.10328e-02,0.473625
-1.10326e-02,0.473047
-1.10325e-02,0.472922
-1.10323e-02,0.472719
-1.10322e-02,0.472688
-1.10320e-02,0.472703
-1.10318e-02,0.473016
-1.10317e-02,0.473297
-1.10315e-02,0.473438
-1.10314e-02,0.473797
-1.10312e-02,0.473844
-1.10310e-02,0.473953
-1.10309e-02,0.473781
-1.10307e-02,0.473141
-1.10306e-02,0.473156
-1.10304e-02,0.473266
-1.10302e-02,0.473234
-1.10301e-02,0.473219
-1.10299e-02,0.473578
-1.10298e-02,0.473656
-1.10296e-02,0.473938
-1.10294e-02,0.474031
-1.10293e-02,0.474188
-1.10291e-02,0.474234
-1.10290e-02,0.474266
-1.10288e-02,0.473906
-1.10286e-02,0.473484
-1.10285e-02,0.47375
-1.10283e-02,0.473547
-1.10282e-02,0.473531
-1.10280e-02,0.473719
-1.10278e-02,0.474047
-1.10277e-02,0.473922
-1.10275e-02,0.473953
-1.10274e-02,0.474313
-1.10272e-02,0.474031
-1.10270e-02,0.473828
-1.10269e-02,0.473828
-1.10267e-02,0.473422
-1.10266e-02,0.473656
-1.10264e-02,0.473813
-1.10262e-02,0.474094
-1.10261e-02,0.474531
-1.10259e-02,0.474313
-1.10258e-02,0.474609
-1.10256e-02,0.474469
-1.10254e-02,0.474313
-1.10253e-02,0.474406
-1.10251e-02,0.474094
-1.10250e-02,0.473922
-1.10248e-02,0.474094
-1.10246e-02,0.474203
-1.10245e-02,0.474109
-1.10243e-02,0.473984
-1.10242e-02,0.474188
-1.10240e-02,0.474094
-1.10238e-02,0.473938
-1.10237e-02,0.473297
-1.10235e-02,0.473531
-1.10234e-02,0.473438
-1.10232e-02,0.473078
-1.10230e-02,0.473266
-1.10229e-02,0.473563
-1.10227e-02,0.473594
-1.10226e-02,0.473797
-1.10224e-02,0.473797
-1.10222e-02,0.474406
-1.10221e-02,0.474641
-1.10219e-02,0.474688
-1.10218e-02,0.475188
