DDS,Power(mW)
0.01,0.03017
0.02,0.12417
0.026,0.20817
0.033,0.33617
0.04,0.49317
0.05,0.77017
0.06,1.10817
0.08,1.96817
0.1,3.04817
0.12,4.30817
0.14,5.74817
0.16,7.31817
0.18,9.00817
0.2,10.6982
0.22,12.1982
0.224,12.5982
