NaRamanF1/AMP,Power(mW)
0.00,0.000
0.02,0.091
0.04,0.364
0.06,0.801
0.08,1.395
0.10,2.09
0.12,2.85
0.14,3.65
0.16,4.45
0.18,5.21
0.20,5.89
0.22,6.44
0.24,6.90
0.26,7.18
0.28,7.32
0.30,7.30
0.32,7.14
