NaRaman2/AMP,Power(mW)
0.22,2.69
0.2,2.61
0.18,2.46
0.16,2.21
0.14,1.90
0.12,1.43
0.11,1.35
0.095,1.074
0.085,0.885
0.06,0.468
0.04,0.215
