NaRamanF2/AMP,Power(mW)
0.00,0.000
0.02,0.0355
0.04,0.1414
0.06,0.308
0.08,0.523
0.10,0.761
0.12,1.003
0.14,1.230
0.16,1.425
0.18,1.571
0.20,1.66
0.22,1.69
0.24,1.66
0.26,1.57
