Parameter,Image1,Image2,Image3
1.0,532,318,24
2.0,532,308,8
3.0,532,282,4
4.0,532,297,5
5.0,532,297,5
6.0,532,300,6
7.0,532,308,9
8.0,532,306,7
9.0,532,290,4
10.0,532,288,5
11.0,532,285,3
12.0,532,305,10
13.0,532,301,8
14.0,532,310,5
15.0,532,314,6
16.0,532,289,4
17.0,532,315,4
18.0,532,305,9
19.0,532,321,4
20.0,532,306,8
21.0,532,292,3
22.0,532,302,2
23.0,532,295,12
24.0,532,305,5
25.0,532,290,4
26.0,532,293,9
27.0,532,323,5
28.0,532,309,14
29.0,532,276,11
30.0,532,309,8
31.0,532,299,6
32.0,532,271,3
33.0,532,300,3
34.0,532,324,1
35.0,532,311,5
36.0,532,312,7
37.0,532,311,6
38.0,532,292,7
39.0,532,291,10
40.0,532,312,6
41.0,532,305,5
42.0,532,310,5
43.0,532,298,3
44.0,532,297,4
45.0,532,316,53
46.0,532,306,89
47.0,532,325,103
48.0,532,290,106
49.0,532,322,163
50.0,532,309,156
51.0,532,310,164
52.0,532,303,163
53.0,532,278,161
54.0,532,290,156
55.0,532,292,127
56.0,532,303,112
57.0,532,324,99
58.0,532,327,80
59.0,532,308,46
60.0,532,309,36
61.0,532,296,8
62.0,532,307,14
63.0,532,299,7
64.0,532,320,14
65.0,532,315,13
66.0,532,287,10
67.0,532,296,18
68.0,532,324,12
69.0,532,293,15
70.0,532,300,10
71.0,532,298,8
72.0,532,304,11
73.0,532,326,4
74.0,532,312,12
75.0,532,281,8
76.0,532,296,7
77.0,532,310,51
78.0,532,301,71
79.0,532,313,127
80.0,532,307,158
81.0,532,327,216
82.0,532,309,195
83.0,532,302,209
84.0,532,279,181
85.0,532,306,197
86.0,532,293,172
87.0,532,289,144
88.0,532,307,30
89.0,532,314,63
90.0,532,322,107
91.0,532,285,117
92.0,532,289,142
93.0,532,307,165
94.0,532,296,184
95.0,532,291,210
96.0,532,316,213
97.0,532,300,199
98.0,532,303,202
99.0,532,295,73
100.0,532,311,111
101.0,532,295,127
102.0,532,289,151
103.0,532,300,178
104.0,532,311,203
105.0,532,311,212
106.0,532,295,197
107.0,532,314,194
108.0,532,307,174
109.0,532,313,176
110.0,532,287,128
111.0,532,282,106
