Parameter,Image1,Image2,Image3
1.0,436,222,2
2.0,436,215,12
3.0,436,242,26
4.0,436,226,41
5.0,436,240,35
6.0,436,228,33
7.0,436,206,24
8.0,436,221,18
9.0,436,209,21
10.0,436,214,18
11.0,436,223,25
12.0,436,214,12
13.0,436,222,22
14.0,436,223,10
15.0,436,243,21
16.0,436,235,27
17.0,436,233,26
18.0,436,218,33
19.0,436,205,30
20.0,436,219,25
21.0,436,199,27
22.0,436,225,2
23.0,436,211,4
24.0,436,220,7
25.0,436,232,14
26.0,436,193,9
27.0,436,214,14
28.0,436,221,6
29.0,436,213,7
30.0,436,243,6
31.0,436,208,5
32.0,436,202,8
33.0,436,223,10
34.0,436,223,14
35.0,436,206,11
36.0,436,230,9
37.0,436,218,15
38.0,436,211,10
39.0,436,212,11
40.0,436,227,8
41.0,436,229,12
42.0,436,225,16
43.0,436,219,3
44.0,436,225,9
45.0,436,229,17
46.0,436,212,17
47.0,436,222,32
48.0,436,190,14
49.0,436,226,15
50.0,436,221,11
51.0,436,223,18
52.0,436,223,17
53.0,436,207,16
54.0,436,224,20
55.0,436,226,15
56.0,436,224,21
57.0,436,236,19
58.0,436,206,17
59.0,436,225,19
60.0,436,222,24
61.0,436,223,12
62.0,436,227,21
63.0,436,219,14
64.0,436,214,0
65.0,436,213,3
66.0,436,231,2
67.0,436,221,9
68.0,436,207,7
69.0,436,226,6
70.0,436,195,5
71.0,436,231,9
72.0,436,227,4
73.0,436,218,7
74.0,436,211,4
75.0,436,222,5
76.0,436,224,10
77.0,436,229,9
78.0,436,221,2
79.0,436,232,3
80.0,436,217,6
81.0,436,234,4
82.0,436,230,9
83.0,436,221,6
84.0,436,215,12
