Parameter,Image1,Image2,Image3
1.0,662,348,4
2.0,662,350,23
3.0,662,340,70
4.0,662,333,136
5.0,662,355,155
6.0,662,372,146
7.0,662,340,88
8.0,662,315,65
9.0,662,321,67
10.0,662,362,91
11.0,662,351,95
12.0,662,355,106
13.0,662,362,102
14.0,662,356,102
15.0,662,340,100
16.0,662,339,107
17.0,662,332,117
18.0,662,339,101
19.0,662,381,119
20.0,662,362,125
21.0,662,352,104
22.0,662,365,104
23.0,662,349,6
24.0,662,362,8
25.0,662,343,15
26.0,662,356,29
27.0,662,330,12
28.0,662,364,20
29.0,662,377,8
30.0,662,353,17
31.0,662,348,17
32.0,662,340,11
33.0,662,346,7
34.0,662,368,8
35.0,662,358,9
36.0,662,371,25
37.0,662,335,43
38.0,662,377,23
39.0,662,361,23
40.0,662,321,16
41.0,662,335,10
42.0,662,348,8
43.0,662,362,7
44.0,662,359,3
45.0,662,341,17
46.0,662,330,61
47.0,662,333,107
48.0,662,370,188
49.0,662,359,215
50.0,662,347,200
51.0,662,358,170
52.0,662,339,116
53.0,662,338,76
54.0,662,358,59
55.0,662,344,131
56.0,662,342,110
57.0,662,375,120
58.0,662,351,85
59.0,662,368,74
60.0,662,360,97
61.0,662,350,91
62.0,662,348,114
63.0,662,350,131
64.0,662,340,119
65.0,662,360,135
66.0,662,361,4
67.0,662,342,4
68.0,662,357,8
69.0,662,346,11
70.0,662,367,36
71.0,662,343,20
72.0,662,340,13
73.0,662,346,10
74.0,662,342,8
75.0,662,350,10
76.0,662,342,15
77.0,662,365,12
78.0,662,358,9
79.0,662,351,15
80.0,662,359,21
81.0,662,364,29
82.0,662,354,44
83.0,662,346,29
84.0,662,372,17
85.0,662,360,10
86.0,662,356,4
87.0,662,341,8
88.0,662,342,49
89.0,662,346,120
90.0,662,376,187
91.0,662,327,165
92.0,662,346,107
93.0,662,347,62
94.0,662,345,34
95.0,662,382,87
96.0,662,340,118
97.0,662,342,175
98.0,662,349,93
99.0,662,379,109
100.0,662,344,110
101.0,662,344,123
102.0,662,348,94
103.0,662,362,93
104.0,662,367,95
105.0,662,336,69
106.0,662,335,77
107.0,662,366,127
108.0,662,352,116
109.0,662,342,11
110.0,662,362,11
111.0,662,317,15
112.0,662,356,21
113.0,662,382,55
114.0,662,349,84
115.0,662,351,87
116.0,662,341,67
117.0,662,356,86
118.0,662,343,52
119.0,662,326,33
120.0,662,338,26
121.0,662,351,11
122.0,662,382,7
123.0,662,341,7
124.0,662,356,6
125.0,1324,706,8
126.0,1324,729,6
127.0,1324,718,11
128.0,1324,727,9
129.0,1324,718,10
130.0,1324,707,20
131.0,1324,714,19
132.0,1324,710,30
133.0,1324,700,32
134.0,1324,693,31
135.0,1324,706,23
136.0,1324,684,25
137.0,1324,710,14
138.0,1324,743,17
139.0,1324,696,11
140.0,1324,710,7
