Parameter,Image1,Image2,Image3
1.0,302,165,6
2.0,302,166,10
3.0,302,180,20
4.0,302,169,6
5.0,302,174,28
6.0,302,182,84
7.0,302,175,85
8.0,302,168,42
9.0,302,166,14
10.0,302,189,20
11.0,302,171,11
12.0,302,164,6
13.0,302,190,11
14.0,302,180,14
15.0,302,177,3
16.0,302,178,9
17.0,302,164,9
18.0,302,159,5
19.0,302,167,18
20.0,302,172,26
21.0,302,172,21
22.0,302,174,8
23.0,302,169,8
24.0,302,170,10
25.0,302,164,5
26.0,302,160,2
27.0,302,165,8
28.0,302,175,3
29.0,302,163,5
30.0,302,166,3
31.0,302,186,3
32.0,302,193,3
33.0,302,158,6
34.0,302,184,6
35.0,302,177,5
36.0,302,182,18
37.0,302,154,14
38.0,302,159,10
39.0,302,168,3
40.0,302,166,4
41.0,302,182,4
42.0,302,175,5
43.0,302,187,13
44.0,302,172,12
45.0,302,172,9
46.0,302,147,33
47.0,302,176,66
48.0,302,174,81
49.0,302,173,56
50.0,302,170,22
51.0,302,187,3
52.0,302,164,7
53.0,302,175,4
54.0,302,168,10
55.0,302,185,5
56.0,302,174,7
57.0,302,170,10
58.0,302,158,20
59.0,302,170,21
60.0,302,182,21
61.0,302,169,7
62.0,302,167,7
63.0,302,178,2
64.0,302,171,5
65.0,302,179,6
66.0,302,172,2
67.0,302,173,7
68.0,302,162,3
69.0,302,160,6
70.0,302,172,2
71.0,302,181,2
72.0,302,169,2
73.0,302,173,6
74.0,302,174,2
75.0,302,169,5
76.0,302,180,5
77.0,302,170,6
78.0,302,158,3
79.0,302,164,6
80.0,302,187,5
81.0,302,178,12
82.0,302,168,8
83.0,302,171,4
84.0,302,183,3
85.0,302,172,4
86.0,302,178,4
87.0,302,169,10
88.0,302,170,6
89.0,302,152,9
90.0,302,173,12
91.0,302,180,17
92.0,302,169,31
93.0,302,188,59
94.0,302,173,71
95.0,302,168,71
96.0,302,178,72
97.0,302,167,38
98.0,302,176,35
99.0,302,172,17
100.0,302,172,10
101.0,302,157,7
102.0,302,179,9
103.0,302,181,5
104.0,302,170,3
105.0,302,167,5
106.0,302,173,4
107.0,302,167,5
108.0,302,172,7
109.0,302,176,7
110.0,302,172,8
111.0,302,183,15
112.0,302,169,10
113.0,302,173,15
114.0,302,167,10
115.0,302,178,10
116.0,302,162,6
117.0,302,179,3
118.0,302,160,9
119.0,302,179,11
120.0,302,171,9
121.0,302,184,11
122.0,302,184,4
123.0,302,156,11
124.0,302,166,12
125.0,302,165,9
126.0,302,168,17
127.0,302,157,9
128.0,302,187,13
129.0,302,177,8
130.0,302,175,5
131.0,302,176,12
132.0,302,166,3
133.0,302,167,6
134.0,302,175,8
135.0,302,160,3
136.0,302,159,5
137.0,302,187,12
138.0,302,174,4
139.0,302,180,7
140.0,302,177,12
141.0,302,190,8
142.0,302,170,12
143.0,302,173,4
144.0,302,162,2
145.0,302,185,6
146.0,302,163,6
147.0,302,179,5
148.0,302,178,2
149.0,302,180,5
150.0,302,169,4
151.0,302,172,8
152.0,302,172,11
153.0,302,178,6
154.0,302,168,7
155.0,302,166,9
156.0,302,166,5
157.0,302,174,2
158.0,302,164,3
159.0,302,171,8
160.0,302,176,3
161.0,302,168,3
162.0,302,164,4
163.0,302,170,4
164.0,302,159,4
165.0,302,168,13
166.0,302,185,7
167.0,302,177,10
168.0,302,189,2
169.0,302,184,6
170.0,302,167,2
171.0,302,181,4
172.0,302,158,9
173.0,302,174,6
174.0,302,178,4
175.0,302,167,5
176.0,302,169,9
177.0,302,188,9
178.0,302,172,4
179.0,302,160,9
180.0,302,154,6
181.0,302,170,7
182.0,302,177,5
183.0,302,177,3
184.0,302,164,7
185.0,302,168,2
186.0,302,165,4
187.0,302,182,5
188.0,302,174,9
189.0,302,177,4
190.0,302,171,6
191.0,302,168,4
192.0,302,184,6
193.0,302,176,8
194.0,302,181,8
195.0,302,163,4
196.0,302,190,6
197.0,302,162,4
198.0,302,181,5
199.0,302,179,8
