Parameter,Image1,Image2,Image3
-1.86e7,160,87,7
-1.8595000000000004e7,160,87,8
-1.859e7,160,85,14
-1.8585e7,160,96,5
-1.858e7,160,89,2
-1.8575000000000004e7,160,83,2
-1.857e7,160,77,10
-1.8565e7,160,78,19
-1.8560000000000004e7,160,89,30
-1.8555e7,160,98,52
-1.855e7,160,82,39
-1.8545e7,160,84,38
-1.8540000000000004e7,160,83,33
-1.8535e7,160,77,27
-1.853e7,160,85,26
-1.8525000000000004e7,160,80,23
-1.852e7,160,81,22
-1.8515e7,160,78,14
-1.851e7,160,80,9
-1.8505000000000004e7,160,83,12
-1.85e7,160,89,9
-1.8495e7,160,83,7
-1.8490000000000004e7,160,81,12
-1.8485e7,160,93,12
-1.848e7,160,84,12
-1.8475e7,160,85,9
-1.8470000000000004e7,160,91,5
-1.8465e7,160,93,9
-1.846e7,160,86,12
-1.8455e7,160,88,22
-1.845e7,160,79,21
-1.8445e7,160,86,22
-1.844e7,160,85,6
-1.8435000000000004e7,160,81,12
-1.843e7,160,78,7
-1.8425e7,160,90,11
-1.842e7,160,88,13
-1.8415e7,160,82,11
-1.841e7,160,82,10
-1.8405e7,160,86,4
-1.8400000000000004e7,160,79,2
-1.8395e7,160,78,0
-1.839e7,160,87,3
-1.8385e7,160,81,2
-1.838e7,160,73,4
-1.8375e7,160,92,1
-1.837e7,160,79,5
-1.8365000000000004e7,160,84,5
-1.836e7,160,87,5
-1.8355e7,160,79,5
-1.835e7,160,85,8
-1.8345e7,160,87,6
-1.834e7,160,82,4
-1.8335e7,160,93,1
-1.833e7,160,84,2
-1.8325e7,160,91,2
-1.832e7,160,84,0
